Acceptancenum	Simnum	Time	T0	T1	TMRCA	Variance	epsilonV	Heterozygosis	epsilonH	Numberofconfig	epsilonC	SASHloc	SH	MASH	SASH	SHchanges	SHdist	HBC	Simnum	Alpha
1	2515	0.306725	0.008907	22.152523	0.314477	0.681618	0.043360	0.515273	-0.038224	43	0.085106	0.362433	0.796361	0.778163	0.082031	0.735632	0.531118	0.140000	2515	0.100000
2	16508	0.802882	0.009413	20.910410	0.523252	0.730462	-0.025192	0.532186	-0.072302	43	0.085106	0.242102	0.732110	0.670336	0.187385	0.770115	0.553795	0.188679	16508	0.100000
3	21080	0.106008	0.003156	31.629328	0.107099	0.768315	-0.078317	0.536541	-0.081077	48	-0.021277	0.225741	0.864548	0.849389	0.100650	0.723809	0.330439	0.127273	21080	0.100000
4	27052	0.572948	0.001807	15.799870	0.407444	0.773326	-0.085350	0.521880	-0.051537	44	0.063830	0.369063	0.568781	0.568781	0.000000	0.717949	0.499093	0.000000	27052	0.100000
5	28135	0.733433	0.005769	25.212755	0.404606	0.662274	0.070509	0.515675	-0.039036	44	0.063830	0.458879	0.643341	0.634311	0.024691	0.806452	0.576799	0.102041	28135	0.100000
6	29677	0.258196	0.004051	20.913843	0.261523	0.709970	0.003569	0.535049	-0.078072	45	0.042553	0.249702	0.720276	0.716829	0.012170	0.708333	0.409324	0.021739	29677	0.100000
7	32401	0.155189	0.000206	27.687887	0.155298	0.687323	0.035354	0.525817	-0.059470	46	0.021277	0.310135	0.795591	0.745491	0.196849	0.763441	0.436488	0.148148	32401	0.100000
8	34302	0.186367	0.003899	30.458069	0.190011	0.714571	-0.002889	0.534005	-0.075968	48	-0.021277	0.291768	0.797220	0.786481	0.050295	0.769231	0.422156	0.076923	34302	0.100000
9	35059	0.598247	0.003242	25.761900	0.598509	0.670395	0.059112	0.537137	-0.082279	44	0.063830	0.495611	0.808205	0.788433	0.093457	0.787234	0.648145	0.102041	35059	0.100000
10	41884	0.370890	0.007740	27.686237	0.378171	0.677420	0.049253	0.520463	-0.048682	47	0.000000	0.250029	0.778048	0.763493	0.061539	0.797980	0.484318	0.096154	41884	0.100000
11	44195	0.174097	0.005307	25.049942	0.179942	0.733624	-0.029629	0.527667	-0.063196	47	0.000000	0.276369	0.846576	0.788584	0.274299	0.752688	0.357609	0.160714	44195	0.100000
12	49980	0.627662	0.000352	30.810499	0.627757	0.666607	0.064428	0.514110	-0.035881	45	0.042553	0.518067	0.722531	0.700299	0.074179	0.792000	0.692368	0.062500	49980	0.100000
13	55613	0.777823	0.000169	27.240721	0.777852	0.704549	0.011178	0.534751	-0.077471	46	0.021277	0.245206	0.840877	0.731777	0.406750	0.820896	0.624843	0.163636	55613	0.100000
14	58114	0.904811	0.006716	19.759237	0.513732	0.716003	-0.004898	0.536749	-0.081497	44	0.063830	0.409775	0.821207	0.809985	0.059063	0.730769	0.486510	0.063830	58114	0.100000
15	58612	0.129314	0.009011	34.490955	0.135184	0.644549	0.095387	0.545593	-0.099317	47	0.000000	0.217271	0.880059	0.854886	0.173469	0.791667	0.332810	0.145455	58612	0.100000
16	60391	0.227236	0.002313	25.325457	0.229508	0.727532	-0.021078	0.536630	-0.081257	46	0.021277	0.400905	0.757636	0.746349	0.044502	0.769231	0.503695	0.132075	60391	0.100000
17	60410	0.255394	0.003316	29.952442	0.256825	0.697256	0.021413	0.529799	-0.067494	43	0.085106	0.461522	0.882564	0.819812	0.348258	0.790909	0.553284	0.156863	60410	0.100000
18	61825	0.816258	0.006174	20.192911	0.314205	0.692961	0.027442	0.521746	-0.051266	48	-0.021277	0.207289	0.634616	0.625292	0.024883	0.707317	0.335014	0.076923	61825	0.100000
19	63320	0.211520	0.000081	17.093056	0.211625	0.652237	0.084596	0.486951	0.018842	43	0.085106	0.179262	0.765724	0.752453	0.053613	0.689189	0.438632	0.104167	63320	0.100000
20	67783	0.217114	0.009588	21.650908	0.222285	0.673878	0.054224	0.545221	-0.098566	45	0.042553	0.323357	0.644770	0.607143	0.095780	0.770115	0.485817	0.100000	67783	0.100000
21	68395	0.572730	0.008070	27.661022	0.570170	0.713110	-0.000837	0.539687	-0.087417	49	-0.042553	0.592257	0.809766	0.766023	0.186956	0.832000	0.739731	0.092593	68395	0.100000
22	73111	0.302935	0.009101	35.397175	0.304753	0.650522	0.087003	0.536615	-0.081227	44	0.063830	0.282311	0.576673	0.555358	0.047937	0.782609	0.674997	0.153846	73111	0.100000
23	76731	0.192396	0.002758	22.406559	0.192886	0.692207	0.028499	0.492529	0.007603	45	0.042553	0.258992	0.664031	0.615472	0.126284	0.689189	0.312395	0.100000	76731	0.100000
24	77962	0.225771	0.006762	24.549246	0.229666	0.651999	0.084931	0.538330	-0.084683	43	0.085106	0.277552	0.762967	0.734367	0.107665	0.712500	0.397124	0.085106	77962	0.100000
25	80611	0.137192	0.003476	20.584068	0.141287	0.725019	-0.017551	0.513006	-0.033657	43	0.085106	0.230087	0.742009	0.675038	0.206089	0.739726	0.314878	0.156863	80611	0.100000
26	81181	0.454569	0.000974	40.655579	0.454753	0.770820	-0.081833	0.527234	-0.062325	47	0.000000	0.140297	0.823967	0.800521	0.117537	0.756757	0.271566	0.113208	81181	0.100000
27	88483	0.626165	0.009216	19.957821	0.632082	0.653341	0.083047	0.519971	-0.047690	44	0.063830	0.325822	0.823899	0.734705	0.336208	0.752475	0.492965	0.120000	88483	0.100000
28	89864	0.154206	0.008121	24.494596	0.161482	0.778337	-0.092383	0.533707	-0.075367	48	-0.021277	0.241553	0.805588	0.803260	0.011834	0.685714	0.245390	0.058824	89864	0.100000
29	90778	0.317636	0.003051	18.769814	0.319317	0.777636	-0.091399	0.531514	-0.070950	43	0.085106	0.268446	0.810288	0.804153	0.031327	0.782609	0.456946	0.085106	90778	0.100000
30	95572	0.179749	0.002453	21.789665	0.180391	0.674139	0.053858	0.526101	-0.060041	47	0.000000	0.171986	0.785104	0.742885	0.164205	0.696203	0.230028	0.113208	95572	0.100000
31	96058	0.142370	0.006514	25.055117	0.149889	0.666421	0.064690	0.533826	-0.075607	44	0.063830	0.312394	0.824468	0.795455	0.141843	0.773810	0.390222	0.137255	96058	0.100000
32	101548	0.170896	0.007815	24.595804	0.171749	0.699836	0.017792	0.505653	-0.018842	43	0.085106	0.240626	0.716919	0.663595	0.158512	0.708861	0.376348	0.104167	101548	0.100000
33	102993	0.314413	0.002593	22.043245	0.316765	0.664094	0.067955	0.537928	-0.083871	44	0.063830	0.434123	0.701110	0.683596	0.055351	0.744186	0.528421	0.083333	102993	0.100000
34	104141	0.811984	0.002549	36.695583	0.546715	0.691939	0.028875	0.535586	-0.079153	43	0.085106	0.511554	0.713185	0.704577	0.029140	0.798561	0.722191	0.104167	104141	0.100000
35	113828	0.867678	0.001227	22.469580	0.562083	0.677278	0.049451	0.516645	-0.040989	43	0.085106	0.354341	0.840214	0.797475	0.211030	0.775281	0.533925	0.104167	113828	0.100000
36	115270	0.796266	0.004229	24.050783	0.796471	0.712409	0.000146	0.518300	-0.044325	43	0.085106	0.234973	0.776624	0.740260	0.140001	0.810345	0.549827	0.156863	115270	0.100000
37	116513	0.491486	0.005614	24.122868	0.471675	0.697293	0.021361	0.532708	-0.073354	44	0.063830	0.498818	0.845308	0.817432	0.152688	0.731183	0.554869	0.083333	116513	0.100000
38	119207	0.201808	0.000962	36.076511	0.202385	0.655563	0.079928	0.532529	-0.072993	50	-0.063830	0.437010	0.774397	0.747115	0.107883	0.811475	0.545260	0.107143	119207	0.100000
39	125666	0.141821	0.009370	33.158344	0.151935	0.678799	0.047316	0.545161	-0.098446	47	0.000000	0.258965	0.840080	0.813627	0.141934	0.726190	0.300642	0.096154	125666	0.100000
40	137439	0.186872	0.005307	30.399355	0.199801	0.740179	-0.038829	0.535944	-0.079875	47	0.000000	0.396379	0.827211	0.782767	0.204593	0.790000	0.492377	0.129630	137439	0.100000
41	145137	0.496571	0.008529	21.659403	0.497909	0.659538	0.074350	0.523669	-0.055143	47	0.000000	0.361384	0.847233	0.838269	0.055424	0.687500	0.534293	0.096154	145137	0.100000
42	148653	0.348148	0.007771	26.527781	0.357761	0.658359	0.076004	0.520001	-0.047750	45	0.042553	0.367175	0.808573	0.780809	0.126664	0.778947	0.462863	0.100000	148653	0.100000
43	152683	0.727216	0.007063	27.057135	0.732468	0.759858	-0.066448	0.512797	-0.033236	44	0.063830	0.487202	0.733168	0.730080	0.011442	0.779817	0.642239	0.043478	152683	0.100000
44	156083	0.110228	0.005912	31.611189	0.120904	0.649545	0.088374	0.545400	-0.098927	50	-0.063830	0.200452	0.870604	0.829126	0.242744	0.755556	0.293292	0.137931	156083	0.100000
45	156727	0.113852	0.006625	32.186302	0.115392	0.643318	0.097113	0.532335	-0.072602	48	-0.021277	0.246610	0.824763	0.759361	0.271784	0.757895	0.380265	0.142857	156727	0.100000
46	158228	0.285686	0.003300	29.208405	0.288944	0.769597	-0.080117	0.529068	-0.066021	43	0.085106	0.256204	0.816347	0.755293	0.249498	0.770833	0.442850	0.122449	158228	0.100000
47	160840	0.420594	0.002116	27.125893	0.420712	0.770418	-0.081268	0.488964	0.014785	43	0.085106	0.373558	0.709812	0.676931	0.101776	0.775701	0.581241	0.085106	160840	0.100000
48	162197	0.651398	0.005344	21.287924	0.420359	0.776697	-0.090080	0.545623	-0.099378	43	0.085106	0.257438	0.681258	0.663995	0.051378	0.744444	0.506426	0.044444	162197	0.100000
49	163404	0.131615	0.006728	29.446081	0.156066	0.739277	-0.037562	0.541567	-0.091204	46	0.021277	0.286163	0.729441	0.691878	0.121910	0.715909	0.345697	0.115385	163404	0.100000
50	164067	0.150358	0.008134	34.582500	0.154020	0.646831	0.092184	0.541000	-0.090062	46	0.021277	0.310039	0.853907	0.777623	0.343036	0.764045	0.404666	0.206897	164067	0.100000
51	165271	0.317418	0.001595	35.892632	0.318529	0.743766	-0.043863	0.541432	-0.090933	44	0.063830	0.478374	0.678926	0.641443	0.104538	0.775862	0.583436	0.137255	165271	0.100000
52	166171	0.165429	0.004878	25.090937	0.166565	0.643371	0.097040	0.542342	-0.092766	43	0.085106	0.184029	0.703111	0.674364	0.088279	0.705128	0.325789	0.065217	166171	0.100000
