Acceptancenum	Simnum	Time	T0	T1	TMRCA	Variance	epsilonV	Heterozygosis	epsilonH	Numberofconfig	epsilonC	SASHloc	SH	MASH	SASH	SHchanges	SHdist	HBC	Simnum	Alpha
33	38875	0.075122	0.001144	37.859356	0.076398	0.297054	-0.062522	0.432857	-0.066199	46	0.000000	0.207376	0.774359	0.754530	0.080780	0.775000	0.468333	0.132075	38875	0.100000
34	39278	0.032908	0.006755	53.845161	0.035066	0.274691	0.017471	0.410187	-0.010360	49	-0.065217	0.077613	0.834454	0.784874	0.230467	0.857143	0.191869	0.257576	39278	0.100000
35	39564	0.079448	0.002261	39.610161	0.080268	0.305645	-0.093249	0.413841	-0.019360	46	0.000000	0.217126	0.879985	0.823236	0.321041	0.823529	0.430818	0.192982	39564	0.100000
36	39621	0.035833	0.003409	43.735348	0.041055	0.295772	-0.057934	0.431723	-0.063407	45	0.021739	0.070171	0.853855	0.786728	0.314749	0.770270	0.154886	0.237288	39621	0.100000
37	41192	0.017992	0.002085	71.020142	0.019796	0.303535	-0.085700	0.384043	0.054039	49	-0.065217	0.061840	0.890314	0.811588	0.417840	0.800000	0.191667	0.309859	41192	0.100000
38	41374	0.019914	0.008195	83.134583	0.027945	0.268881	0.038249	0.378957	0.066566	49	-0.065217	0.098125	0.824309	0.733152	0.341606	0.817308	0.251829	0.279412	41374	0.100000
39	42827	0.027741	0.001690	74.551163	0.028882	0.282133	-0.009149	0.406906	-0.002278	47	-0.021739	0.089581	0.886289	0.789409	0.460038	0.828571	0.234144	0.347222	42827	0.100000
40	43504	0.040956	0.002208	49.052975	0.041977	0.306958	-0.097944	0.418808	-0.031593	50	-0.086957	0.185827	0.898185	0.833112	0.389920	0.826087	0.364783	0.264706	43504	0.100000
41	45421	0.027200	0.009940	53.329247	0.039764	0.254362	0.090182	0.371157	0.085779	50	-0.086957	0.068217	0.880659	0.829376	0.300558	0.812500	0.190409	0.305556	45421	0.100000
42	47327	0.067926	0.007188	45.365158	0.071796	0.295153	-0.055720	0.417943	-0.029462	50	-0.086957	0.138440	0.913133	0.842322	0.449088	0.823529	0.314035	0.295775	47327	0.100000
43	47922	0.044175	0.003112	42.725956	0.046229	0.277696	0.006722	0.398494	0.018442	45	0.021739	0.096149	0.866696	0.767040	0.427779	0.800000	0.249345	0.224138	47922	0.100000
44	47975	0.034499	0.004508	63.068844	0.042150	0.290306	-0.038382	0.418987	-0.032034	50	-0.086957	0.151066	0.898019	0.780868	0.534613	0.833333	0.316832	0.367089	47975	0.100000
45	48759	0.050110	0.002424	35.839481	0.052940	0.297979	-0.065829	0.418987	-0.032034	49	-0.065217	0.115704	0.875470	0.795113	0.392202	0.817204	0.253770	0.268657	48759	0.100000
46	49989	0.021710	0.004384	62.232315	0.023486	0.296629	-0.061001	0.369844	0.089012	46	0.000000	0.060542	0.798619	0.738780	0.229075	0.795455	0.188358	0.245902	49989	0.100000
47	50182	0.014225	0.006262	81.572777	0.027671	0.268218	0.040623	0.375482	0.075126	46	0.000000	0.188109	0.790213	0.706378	0.285520	0.797980	0.397492	0.342857	50182	0.100000
48	52393	0.023548	0.005582	84.250229	0.027853	0.306868	-0.097623	0.380374	0.063076	49	-0.065217	0.113003	0.860417	0.730000	0.483025	0.805085	0.308109	0.355263	52393	0.100000
49	53175	0.017512	0.007612	95.944992	0.021124	0.269940	0.034462	0.367249	0.095404	43	0.065217	0.071188	0.689049	0.612710	0.197111	0.841121	0.205105	0.348485	53175	0.100000
50	53271	0.050484	0.003568	45.221455	0.053226	0.295384	-0.056547	0.419658	-0.033687	49	-0.065217	0.165096	0.874694	0.816327	0.317777	0.810000	0.344710	0.209677	53271	0.100000
51	55372	0.022864	0.005601	53.217823	0.028738	0.301536	-0.078552	0.431291	-0.062341	46	0.000000	0.083779	0.853123	0.788357	0.306012	0.836735	0.188538	0.245902	55372	0.100000
52	57423	0.037286	0.007906	35.097843	0.049245	0.256629	0.082073	0.365430	0.099886	43	0.065217	0.040726	0.794338	0.765701	0.122222	0.779221	0.121858	0.283333	57423	0.100000
53	57460	0.020511	0.008492	63.589989	0.032237	0.261573	0.064389	0.402298	0.009074	43	0.065217	0.075779	0.882018	0.789666	0.439071	0.783133	0.172967	0.328125	57460	0.100000
54	58327	0.030477	0.005141	63.740349	0.033642	0.295198	-0.055880	0.384580	0.052717	50	-0.086957	0.124183	0.858371	0.764868	0.397662	0.820755	0.315035	0.242424	58327	0.100000
55	65141	0.035891	0.006581	53.869366	0.040626	0.298561	-0.067910	0.391395	0.035928	42	0.086957	0.120162	0.856745	0.764425	0.391893	0.808989	0.297419	0.288136	65141	0.100000
56	67070	0.047375	0.009595	37.954411	0.056862	0.293542	-0.049959	0.371380	0.085228	43	0.065217	0.094455	0.803603	0.751034	0.211151	0.780822	0.264330	0.232143	67070	0.100000
57	68697	0.016814	0.005012	77.498390	0.021774	0.267405	0.043531	0.368472	0.092392	48	-0.043478	0.064418	0.830791	0.794963	0.174742	0.824742	0.196190	0.261538	68697	0.100000
58	69497	0.039385	0.001953	37.595371	0.042544	0.303326	-0.084954	0.386250	0.048602	43	0.065217	0.054749	0.779498	0.741423	0.147250	0.756757	0.147144	0.173077	69497	0.100000
59	71835	0.077948	0.005493	33.574917	0.082375	0.281931	-0.008429	0.402253	0.009184	43	0.065217	0.130678	0.903277	0.829868	0.431482	0.781609	0.291183	0.232143	71835	0.100000
60	72047	0.030298	0.007382	55.635315	0.035468	0.280336	-0.002721	0.393946	0.029646	48	-0.043478	0.082461	0.850773	0.793599	0.277003	0.818182	0.196238	0.250000	72047	0.100000
61	72703	0.018015	0.004775	91.243233	0.021903	0.272670	0.024699	0.385176	0.051247	50	-0.086957	0.075598	0.698054	0.621375	0.202520	0.868217	0.218451	0.350649	72703	0.100000
62	74650	0.027854	0.007191	55.360020	0.029842	0.285958	-0.022832	0.414244	-0.020352	48	-0.043478	0.120983	0.909483	0.799809	0.547846	0.854369	0.251578	0.368421	74650	0.100000
63	75722	0.031352	0.008675	51.276093	0.035191	0.279732	-0.000560	0.389561	0.040447	43	0.065217	0.059018	0.856422	0.783857	0.335728	0.807229	0.175331	0.338462	75722	0.100000
64	77997	0.056271	0.008253	36.516171	0.068936	0.283348	-0.013497	0.430366	-0.060064	49	-0.065217	0.127126	0.855688	0.764007	0.388490	0.818182	0.251170	0.222222	77997	0.100000
65	78038	0.037722	0.001873	61.126041	0.038834	0.273706	0.020992	0.396809	0.022593	45	0.021739	0.166252	0.871034	0.705397	0.562238	0.850877	0.393737	0.328358	78038	0.100000
66	82543	0.029883	0.002495	69.978416	0.030930	0.288016	-0.030194	0.397600	0.020646	49	-0.065217	0.100554	0.879936	0.820104	0.332595	0.869565	0.253014	0.309859	82543	0.100000
67	83229	0.008817	0.009457	108.033684	0.013147	0.263930	0.055960	0.373125	0.080930	47	-0.021739	0.056714	0.634391	0.527963	0.225464	0.811881	0.154992	0.338028	83229	0.100000
68	84056	0.021696	0.001990	63.793869	0.022429	0.259128	0.073138	0.377749	0.069542	49	-0.065217	0.077865	0.835723	0.744673	0.356602	0.836538	0.215047	0.289855	84056	0.100000
69	86056	0.029164	0.001776	55.769772	0.029989	0.288359	-0.031421	0.407189	-0.002976	44	0.043478	0.065893	0.848170	0.803302	0.228103	0.818182	0.146988	0.301587	86056	0.100000
70	87137	0.040500	0.008487	47.073635	0.046825	0.292528	-0.046331	0.424505	-0.045626	47	-0.021739	0.127575	0.913310	0.830073	0.489841	0.797872	0.270873	0.287879	87137	0.100000
71	89059	0.048859	0.007886	48.924030	0.051667	0.294310	-0.052706	0.435661	-0.073105	49	-0.065217	0.172790	0.928620	0.890711	0.346871	0.831579	0.330498	0.257576	89059	0.100000
72	89513	0.042820	0.004950	41.588642	0.045692	0.279993	-0.001494	0.414736	-0.021564	43	0.065217	0.096502	0.821970	0.738636	0.318840	0.811765	0.270530	0.218182	89513	0.100000
73	89838	0.067377	0.000322	25.115543	0.067640	0.288650	-0.032461	0.370650	0.087028	42	0.086957	0.076408	0.803306	0.737190	0.251572	0.746269	0.220997	0.176471	89838	0.100000
74	90460	0.070290	0.009404	25.748470	0.080810	0.300790	-0.075885	0.435169	-0.071893	44	0.043478	0.162142	0.828969	0.777005	0.233029	0.800000	0.291342	0.241379	90460	0.100000
75	90555	0.023103	0.007232	76.168976	0.028272	0.302133	-0.080686	0.383043	0.056500	48	-0.043478	0.067137	0.864557	0.778481	0.388571	0.838983	0.208139	0.351351	90555	0.100000
76	91341	0.051959	0.006915	39.327843	0.054132	0.253333	0.093863	0.369024	0.091032	48	-0.043478	0.103971	0.857244	0.709200	0.509091	0.830000	0.272268	0.323944	91341	0.100000
77	92200	0.043400	0.009999	41.693039	0.050134	0.287711	-0.029100	0.439374	-0.082252	44	0.043478	0.111272	0.889209	0.863669	0.187336	0.774648	0.232302	0.153846	92200	0.100000
78	94049	0.075973	0.001772	42.454666	0.076757	0.301186	-0.077299	0.409606	-0.008927	43	0.065217	0.140628	0.857724	0.797328	0.297996	0.784091	0.382348	0.232143	94049	0.100000
79	94917	0.041466	0.009784	40.277023	0.049641	0.279858	-0.001014	0.434393	-0.069983	43	0.065217	0.158093	0.902500	0.846429	0.365117	0.785714	0.315579	0.218182	94917	0.100000
80	95566	0.008675	0.005174	150.986389	0.018593	0.259478	0.071884	0.377644	0.069799	49	-0.065217	0.081257	0.814953	0.698885	0.385461	0.869231	0.211984	0.436782	95566	0.100000
81	100303	0.017732	0.000924	91.399330	0.018256	0.266279	0.047558	0.373409	0.080232	45	0.021739	0.078405	0.824109	0.679302	0.451537	0.836364	0.217439	0.407895	100303	0.100000
82	101665	0.034932	0.009009	45.283791	0.040351	0.286503	-0.024779	0.387458	0.045626	44	0.043478	0.084819	0.846548	0.768442	0.337308	0.797753	0.228152	0.290323	101665	0.100000
83	101860	0.063382	0.002625	35.033390	0.067441	0.301044	-0.076792	0.415124	-0.022519	43	0.065217	0.070633	0.820578	0.740694	0.308066	0.807692	0.177942	0.232143	101860	0.100000
84	104882	0.018521	0.002854	67.149857	0.021119	0.303885	-0.086954	0.395139	0.026707	45	0.021739	0.052493	0.799655	0.715889	0.294833	0.828283	0.140164	0.338235	104882	0.100000
85	104926	0.026094	0.004575	66.737679	0.029862	0.294549	-0.053559	0.389844	0.039749	45	0.021739	0.055105	0.803642	0.731791	0.267890	0.852941	0.143555	0.338235	104926	0.100000
86	106499	0.035493	0.003631	41.384628	0.036433	0.268054	0.041210	0.388770	0.042394	45	0.021739	0.070752	0.845032	0.768459	0.330710	0.775000	0.171884	0.237288	106499	0.100000
87	106772	0.043872	0.004991	40.124565	0.046140	0.285854	-0.022459	0.414050	-0.019874	45	0.021739	0.080056	0.909722	0.844298	0.420188	0.813187	0.191615	0.338235	106772	0.100000
88	107577	0.042717	0.000051	45.460983	0.042786	0.292312	-0.045558	0.433647	-0.068146	47	-0.021739	0.112368	0.844023	0.775332	0.305743	0.847619	0.277747	0.298507	107577	0.100000
89	109233	0.078531	0.000916	25.783712	0.079167	0.280552	-0.003494	0.421164	-0.037397	44	0.043478	0.179591	0.831016	0.790018	0.195247	0.776316	0.348039	0.153846	109233	0.100000
90	109541	0.036132	0.007390	52.757210	0.038386	0.283296	-0.013310	0.406936	-0.002351	44	0.043478	0.115710	0.859089	0.767225	0.394648	0.813187	0.256199	0.343284	109541	0.100000
91	109972	0.038763	0.000058	46.830322	0.038838	0.302304	-0.081299	0.430665	-0.060798	48	-0.043478	0.083150	0.858005	0.819953	0.211340	0.810526	0.180872	0.238095	109972	0.100000
92	110761	0.017588	0.009977	93.518883	0.029774	0.258464	0.075512	0.392454	0.033320	49	-0.065217	0.103689	0.863814	0.805965	0.298138	0.837838	0.259567	0.279412	110761	0.100000
93	110782	0.002902	0.009926	152.913422	0.015844	0.302670	-0.082606	0.406951	-0.002388	43	0.065217	0.154600	0.633635	0.584564	0.118120	0.764706	0.343759	0.271186	110782	0.100000
94	113342	0.022699	0.006145	64.238464	0.027571	0.251745	0.099544	0.381850	0.059439	44	0.043478	0.043997	0.801847	0.703191	0.332390	0.789474	0.177691	0.228070	113342	0.100000
95	113683	0.030040	0.004722	38.103851	0.032149	0.303035	-0.083913	0.411037	-0.012454	48	-0.043478	0.079236	0.848207	0.775647	0.323421	0.790123	0.177521	0.225806	113683	0.100000
96	114235	0.041057	0.004107	31.602943	0.043597	0.292595	-0.046571	0.391738	0.035083	45	0.021739	0.084343	0.819574	0.718342	0.359416	0.808511	0.228034	0.250000	114235	0.100000
97	114545	0.023849	0.006217	61.917324	0.027463	0.284884	-0.018991	0.397883	0.019948	48	-0.043478	0.077692	0.823302	0.779020	0.200390	0.826531	0.194554	0.304348	114545	0.100000
98	114791	0.090043	0.008527	23.034784	0.105162	0.264691	0.053239	0.400821	0.012711	43	0.065217	0.082468	0.762100	0.740687	0.082578	0.753623	0.199151	0.122449	114791	0.100000
99	117319	0.028308	0.001178	76.213951	0.029379	0.270261	0.033315	0.380582	0.062562	49	-0.065217	0.088970	0.823403	0.721106	0.366796	0.852459	0.286642	0.300000	117319	0.100000
100	118535	0.044304	0.007801	44.049217	0.048541	0.285809	-0.022299	0.392409	0.033430	43	0.065217	0.081015	0.754502	0.716733	0.133334	0.804878	0.206741	0.188679	118535	0.100000
