Acceptancenum	Simnum	Time	T0	T1	TMRCA	Variance	epsilonV	Heterozygosis	epsilonH	Numberofconfig	epsilonC	SASHloc	SH	MASH	SASH	SHchanges	SHdist	HBC	Simnum	Alpha
1	468	0.046863	0.007964	29.808378	0.054078	0.210186	-0.033211	0.302686	0.030478	29	0.064516	0.020074	0.668487	0.634757	0.092348	0.666667	0.093476	0.236842	468	0.100000
2	2323	0.054965	0.009597	26.173243	0.058365	0.188956	0.071151	0.313215	-0.003248	31	0.000000	0.057380	0.591290	0.548709	0.094354	0.781250	0.257949	0.279070	2323	0.100000
3	3817	0.025747	0.003874	29.486084	0.032424	0.195414	0.039406	0.284132	0.089905	28	0.096774	0.037827	0.590444	0.502730	0.176391	0.711538	0.130103	0.363636	3817	0.100000
4	4607	0.050732	0.005776	30.515402	0.055506	0.202192	0.006085	0.307891	0.013806	32	-0.032258	0.043846	0.654961	0.601773	0.133562	0.703704	0.163671	0.288889	4607	0.100000
5	5372	0.075184	0.000090	25.487904	0.075229	0.196301	0.035044	0.283029	0.093441	33	-0.064516	0.030570	0.605013	0.512532	0.189716	0.678571	0.133100	0.250000	5372	0.100000
6	5651	0.018731	0.001681	58.365513	0.019649	0.195936	0.036840	0.299897	0.039411	33	-0.064516	0.027429	0.726628	0.664301	0.185663	0.794872	0.139706	0.440678	5651	0.100000
7	6352	0.046966	0.003961	26.775446	0.049247	0.188210	0.074817	0.326533	-0.045908	30	0.032258	0.041319	0.780307	0.731869	0.180652	0.785714	0.142702	0.318182	6352	0.100000
8	6466	0.067102	0.002097	24.219986	0.069191	0.206227	-0.013746	0.281179	0.099364	29	0.064516	0.048622	0.668436	0.532961	0.290072	0.689655	0.173628	0.275000	6466	0.100000
9	12350	0.067531	0.000769	21.115597	0.068984	0.215913	-0.061363	0.339882	-0.088663	34	-0.096774	0.074400	0.795291	0.687598	0.344725	0.722222	0.198474	0.276596	12350	0.100000
10	13710	0.046439	0.005009	32.456974	0.050337	0.214034	-0.052126	0.315944	-0.011990	32	-0.032258	0.031980	0.520649	0.470133	0.095338	0.757576	0.105912	0.360000	13710	0.100000
11	14013	0.053109	0.002669	24.125669	0.055317	0.194176	0.045491	0.324102	-0.038121	32	-0.032258	0.076783	0.415566	0.406950	0.014528	0.745098	0.264090	0.135135	14013	0.100000
12	14311	0.044805	0.001404	24.828028	0.047405	0.221559	-0.089113	0.318226	-0.019299	32	-0.032258	0.069240	0.661327	0.600686	0.151863	0.711864	0.256964	0.272727	14311	0.100000
13	15720	0.045611	0.005185	24.393568	0.053374	0.189433	0.068805	0.311843	0.001147	28	0.096774	0.033652	0.765333	0.681333	0.263598	0.716981	0.117047	0.377778	15720	0.100000
14	15898	0.006059	0.008921	133.461945	0.018091	0.217479	-0.069061	0.281388	0.098696	33	-0.064516	0.082178	0.794561	0.587156	0.502381	0.776316	0.280494	0.440678	15898	0.100000
15	16107	0.039523	0.006305	28.251686	0.044070	0.214579	-0.054802	0.341269	-0.093106	29	0.064516	0.046634	0.778212	0.634908	0.392514	0.745455	0.148728	0.355556	16107	0.100000
16	16111	0.101287	0.002172	16.044298	0.105651	0.186122	0.085081	0.300956	0.036020	30	0.032258	0.037189	0.602768	0.552941	0.111455	0.674419	0.153352	0.189189	16111	0.100000
17	16497	0.058792	0.001446	15.697457	0.059846	0.209448	-0.029582	0.323729	-0.036927	30	0.032258	0.042544	0.665044	0.624391	0.108232	0.723404	0.131687	0.189189	16497	0.100000
18	16530	0.085832	0.005125	22.622608	0.090807	0.218084	-0.072031	0.325728	-0.043328	29	0.064516	0.100090	0.751059	0.707274	0.149578	0.714286	0.264090	0.292683	16530	0.100000
19	18645	0.067088	0.005152	21.067070	0.072617	0.218740	-0.075257	0.332917	-0.066354	28	0.096774	0.046751	0.532016	0.501703	0.060834	0.644444	0.122717	0.200000	18645	0.100000
20	20054	0.201544	0.001716	11.701211	0.202183	0.207823	-0.021591	0.304833	0.023599	29	0.064516	0.127779	0.770252	0.633830	0.372566	0.630435	0.351291	0.121212	20054	0.100000
21	22227	0.052577	0.005367	30.531757	0.059354	0.193356	0.049524	0.315333	-0.010032	34	-0.096774	0.090073	0.770064	0.572930	0.461595	0.802817	0.283705	0.276596	22227	0.100000
22	23389	0.032274	0.007894	22.648563	0.036071	0.200447	0.014663	0.283819	0.090909	29	0.064516	0.023465	0.572301	0.544824	0.060366	0.681818	0.095430	0.236842	23389	0.100000
23	23955	0.026152	0.008687	36.348248	0.034020	0.187703	0.077309	0.291977	0.064778	33	-0.064516	0.032733	0.631516	0.584450	0.113263	0.779412	0.119434	0.326531	23955	0.100000
24	24262	0.059545	0.004883	20.109722	0.061887	0.199828	0.017705	0.328174	-0.051163	30	0.032258	0.057292	0.697986	0.661379	0.108108	0.790323	0.198225	0.285714	24262	0.100000
25	26259	0.004192	0.008527	91.207375	0.012766	0.184899	0.091092	0.310322	0.006019	32	-0.032258	0.014434	0.617743	0.608275	0.024172	0.680851	0.050066	0.288889	26259	0.100000
26	26404	0.113504	0.008566	18.377438	0.122505	0.217151	-0.067448	0.343252	-0.099459	31	0.000000	0.131534	0.847256	0.744062	0.403200	0.736842	0.396592	0.326087	26404	0.100000
27	26494	0.094379	0.006869	11.750594	0.101607	0.208158	-0.023240	0.296392	0.050638	28	0.096774	0.043794	0.547875	0.458782	0.164616	0.666667	0.127664	0.263158	26494	0.100000
28	26604	0.097593	0.007233	20.609322	0.106734	0.214251	-0.053189	0.290531	0.069412	28	0.096774	0.034570	0.669262	0.600880	0.171332	0.711538	0.159556	0.348837	26604	0.100000
29	27813	0.141310	0.002470	21.249956	0.144105	0.213110	-0.047581	0.312111	0.000287	28	0.096774	0.082105	0.622036	0.563794	0.133518	0.692308	0.340308	0.222222	27813	0.100000
30	28581	0.050347	0.003282	27.072689	0.053112	0.199195	0.020821	0.333588	-0.068504	33	-0.064516	0.045238	0.677014	0.593496	0.205455	0.781250	0.158464	0.282609	28581	0.100000
31	29192	0.005111	0.007670	176.876251	0.008461	0.198665	0.023424	0.314035	-0.005876	33	-0.064516	0.042361	0.623179	0.512368	0.227242	0.818182	0.151153	0.500000	29192	0.100000
32	29401	0.020670	0.004934	49.802925	0.022912	0.186413	0.083651	0.282014	0.096689	32	-0.032258	0.022008	0.456260	0.429388	0.047094	0.784615	0.103092	0.372549	29401	0.100000
33	30759	0.043499	0.003552	29.905689	0.046852	0.192789	0.052309	0.298077	0.045239	34	-0.096774	0.029908	0.706454	0.624913	0.217391	0.700000	0.126343	0.170732	30759	0.100000
34	32033	0.053335	0.007813	30.166384	0.058732	0.217703	-0.070161	0.326921	-0.047150	29	0.064516	0.053515	0.666226	0.593595	0.178716	0.750000	0.195122	0.355556	32033	0.100000
35	34287	0.215427	0.002948	20.133226	0.218626	0.208904	-0.026906	0.315079	-0.009220	31	0.000000	0.099071	0.776038	0.570086	0.479053	0.692308	0.340926	0.225000	34287	0.100000
36	34429	0.059121	0.008053	26.216980	0.064292	0.188919	0.071334	0.313424	-0.003917	32	-0.032258	0.016621	0.750799	0.726571	0.088608	0.702128	0.063298	0.200000	34429	0.100000
37	34632	0.043006	0.002712	18.021927	0.048339	0.219523	-0.079106	0.301090	0.035590	31	0.000000	0.025952	0.669551	0.601888	0.169960	0.687500	0.094606	0.279070	34632	0.100000
38	34667	0.025496	0.006129	41.133495	0.037644	0.184273	0.094172	0.301418	0.034539	31	0.000000	0.030061	0.538415	0.513007	0.052173	0.781250	0.115929	0.392157	34667	0.100000
39	36073	0.050966	0.004313	23.763191	0.052662	0.194720	0.042815	0.331783	-0.062724	30	0.032258	0.033340	0.732572	0.681986	0.159069	0.759259	0.110187	0.318182	36073	0.100000
40	37203	0.019095	0.003018	58.622593	0.020745	0.199239	0.020601	0.304848	0.023551	34	-0.096774	0.020247	0.695599	0.640813	0.152528	0.792208	0.086772	0.451613	37203	0.100000
41	42507	0.056684	0.007258	26.465023	0.063871	0.189426	0.068842	0.286250	0.083122	32	-0.032258	0.023459	0.600803	0.562784	0.086956	0.732143	0.102622	0.288889	42507	0.100000
42	44283	0.030448	0.005287	23.233631	0.042826	0.199448	0.019575	0.306519	0.018201	28	0.096774	0.048763	0.688761	0.594813	0.231863	0.625000	0.162188	0.243243	44283	0.100000
43	45258	0.079205	0.007201	24.327820	0.083155	0.199045	0.021554	0.326071	-0.044427	32	-0.032258	0.050918	0.574558	0.519600	0.114400	0.720000	0.162594	0.219512	45258	0.100000
44	46849	0.039889	0.001727	31.593296	0.040569	0.185280	0.089223	0.310515	0.005398	34	-0.096774	0.046125	0.654520	0.571128	0.194444	0.814286	0.165447	0.333333	46849	0.100000
45	48759	0.050110	0.002424	35.839481	0.052441	0.190485	0.063636	0.316854	-0.014905	34	-0.096774	0.056855	0.785442	0.657176	0.374144	0.794118	0.201507	0.320000	48759	0.100000
46	49873	0.054334	0.001663	20.000469	0.056871	0.208695	-0.025880	0.338659	-0.084746	30	0.032258	0.033825	0.615384	0.590517	0.060728	0.708333	0.108369	0.210526	49873	0.100000
47	51315	0.066872	0.002265	23.281496	0.068348	0.195459	0.039186	0.319479	-0.023312	31	0.000000	0.045242	0.755375	0.683079	0.228122	0.741379	0.153591	0.279070	51315	0.100000
48	51651	0.039075	0.002610	27.246233	0.039656	0.185705	0.087134	0.293782	0.058998	31	0.000000	0.029616	0.615593	0.573898	0.097853	0.702128	0.103047	0.279070	51651	0.100000
49	52609	0.014721	0.007894	66.674713	0.025703	0.192327	0.054582	0.302298	0.031720	33	-0.064516	0.036751	0.707133	0.628258	0.212178	0.812500	0.143660	0.440678	52609	0.100000
50	53614	0.059887	0.008389	20.514940	0.081494	0.216652	-0.064993	0.309472	0.008742	28	0.096774	0.026397	0.583898	0.551614	0.072000	0.680851	0.098592	0.282051	53614	0.100000
51	53777	0.169914	0.004864	12.871635	0.172339	0.212289	-0.043548	0.339285	-0.086752	28	0.096774	0.036796	0.729492	0.711325	0.062930	0.628571	0.107969	0.151515	53777	0.100000
52	54735	0.067541	0.007250	25.510269	0.068832	0.213445	-0.049230	0.316690	-0.014379	32	-0.032258	0.033970	0.629798	0.598046	0.078993	0.705882	0.120704	0.219512	54735	0.100000
53	55467	0.106509	0.001082	14.449217	0.107362	0.214579	-0.054802	0.322835	-0.034061	29	0.064516	0.042338	0.722672	0.659919	0.184523	0.711111	0.162481	0.147059	55467	0.100000
54	56663	0.058643	0.004956	24.386612	0.060725	0.211447	-0.039406	0.327503	-0.049013	32	-0.032258	0.072551	0.718639	0.694970	0.077595	0.786885	0.206762	0.288889	56663	0.100000
55	57423	0.037286	0.007906	35.097843	0.043461	0.214198	-0.052932	0.337346	-0.080542	34	-0.096774	0.056945	0.738834	0.669665	0.209390	0.787879	0.171277	0.320000	57423	0.100000
56	58488	0.006137	0.008622	98.957542	0.019638	0.188389	0.073937	0.289770	0.071848	34	-0.096774	0.117481	0.529857	0.413761	0.198035	0.783784	0.397865	0.413793	58488	0.100000
57	60365	0.043310	0.008148	30.395767	0.049273	0.205817	-0.011730	0.329665	-0.055940	33	-0.064516	0.065863	0.692196	0.622306	0.185042	0.793651	0.181257	0.352941	60365	0.100000
58	62051	0.025085	0.005452	54.853035	0.031087	0.207062	-0.017852	0.336675	-0.078392	32	-0.032258	0.034191	0.743796	0.655109	0.257144	0.794118	0.110512	0.360000	62051	0.100000
59	64143	0.126439	0.008286	16.072859	0.138015	0.219754	-0.080242	0.301239	0.035112	28	0.096774	0.125317	0.713699	0.475550	0.454093	0.673913	0.525229	0.243243	64143	0.100000
60	64241	0.008697	0.005591	77.878166	0.014990	0.209008	-0.027419	0.297316	0.047676	34	-0.096774	0.045803	0.722821	0.666861	0.167980	0.800000	0.152095	0.403509	64241	0.100000
61	67316	0.029385	0.005509	38.993374	0.048146	0.192931	0.051613	0.321865	-0.030956	33	-0.064516	0.039168	0.782648	0.731202	0.191393	0.750000	0.120969	0.266667	67316	0.100000
62	67621	0.070667	0.002223	28.905922	0.072359	0.194720	0.042815	0.323163	-0.035112	33	-0.064516	0.059815	0.756214	0.666348	0.269342	0.725490	0.180156	0.250000	67621	0.100000
63	68602	0.059715	0.000042	29.276487	0.059760	0.200142	0.016166	0.316332	-0.013232	31	0.000000	0.067059	0.632203	0.488814	0.280504	0.781250	0.236282	0.340426	68602	0.100000
64	68808	0.040463	0.002675	26.166191	0.042350	0.213080	-0.047434	0.316973	-0.015287	33	-0.064516	0.042705	0.642081	0.575568	0.156711	0.736842	0.130770	0.340000	68808	0.100000
