Acceptancenum	Simnum	Time	T0	T1	TMRCA	Variance	epsilonV	Heterozygosis	epsilonH	Numberofconfig	epsilonC	SASHloc	SH	MASH	SASH	SHchanges	SHdist	HBC	Simnum	Alpha
1	2323	0.054965	0.009597	26.173243	0.060925	0.278732	-0.026107	0.363908	0.081083	31	-0.033333	0.027613	0.516452	0.475219	0.078572	0.680851	0.097849	0.261905	2323	0.100000
2	3192	0.100977	0.007444	10.361938	0.115407	0.253468	0.066901	0.375631	0.051482	29	0.033333	0.104526	0.645988	0.502972	0.287743	0.704545	0.283149	0.171429	3192	0.100000
3	3485	0.443089	0.000364	12.743597	0.443548	0.280477	-0.032531	0.399852	-0.009679	30	0.000000	0.267330	0.812283	0.798425	0.068749	0.634146	0.481164	0.090909	3485	0.100000
4	3651	0.131874	0.001094	18.320555	0.132098	0.281133	-0.034946	0.393260	0.006967	32	-0.066667	0.118844	0.736718	0.540732	0.426735	0.727273	0.323120	0.179487	3651	0.100000
5	5336	0.329673	0.005012	9.280116	0.330116	0.264862	0.024954	0.380791	0.038451	28	0.066667	0.080803	0.729259	0.705510	0.080645	0.627907	0.347794	0.125000	5336	0.100000
6	7718	0.291044	0.008344	12.875694	0.296187	0.290656	-0.070003	0.382536	0.034045	28	0.066667	0.145145	0.786920	0.751758	0.141643	0.720000	0.402366	0.151515	7718	0.100000
7	8544	0.157452	0.008416	17.315504	0.158564	0.276987	-0.019683	0.381895	0.035664	29	0.033333	0.201623	0.760323	0.597845	0.404018	0.754098	0.413249	0.325581	8544	0.100000
8	12947	0.229283	0.001451	13.265096	0.230845	0.274683	-0.011201	0.408159	-0.030656	27	0.100000	0.145330	0.708108	0.581982	0.301724	0.673913	0.284108	0.181818	12947	0.100000
9	13464	0.196913	0.003858	11.364130	0.199475	0.266219	0.019958	0.409412	-0.033819	28	0.066667	0.032829	0.758502	0.756006	0.010231	0.605263	0.079288	0.034483	13464	0.100000
10	13654	0.254861	0.002501	7.846879	0.263527	0.244691	0.099212	0.400955	-0.012466	33	-0.100000	0.120298	0.758274	0.694176	0.209589	0.720000	0.247371	0.131579	13654	0.100000
11	13740	0.084851	0.009423	20.544880	0.095106	0.285183	-0.049853	0.363923	0.081045	28	0.066667	0.042093	0.618650	0.517397	0.209807	0.666667	0.126809	0.222222	13740	0.100000
12	14711	0.186368	0.008025	13.276221	0.192015	0.267800	0.014138	0.403163	-0.018039	28	0.066667	0.147896	0.780676	0.694710	0.281588	0.720000	0.369702	0.263158	14711	0.100000
13	16111	0.101287	0.002172	16.044298	0.104574	0.246324	0.093200	0.384550	0.028961	27	0.100000	0.068657	0.764430	0.692641	0.233567	0.688889	0.186080	0.289474	16111	0.100000
14	19537	0.136754	0.005733	12.205438	0.139608	0.273900	-0.008318	0.398957	-0.007419	29	0.033333	0.112340	0.732912	0.709031	0.082076	0.740000	0.220463	0.171429	19537	0.100000
15	20916	0.267484	0.007135	10.570113	0.274008	0.261111	0.038762	0.385087	0.027605	29	0.033333	0.135183	0.731841	0.694256	0.122929	0.652174	0.389336	0.171429	20916	0.100000
16	22424	0.155682	0.009801	13.003436	0.158310	0.288829	-0.063277	0.365698	0.076564	28	0.066667	0.095714	0.769830	0.736660	0.125958	0.644444	0.307063	0.066667	22424	0.100000
17	23142	0.140499	0.000108	15.116885	0.140530	0.265406	0.022950	0.417823	-0.055060	32	-0.066667	0.120226	0.511803	0.480642	0.060000	0.716981	0.262303	0.135135	23142	0.100000
18	23647	0.601521	0.000230	10.400776	0.521528	0.296435	-0.091278	0.406742	-0.027078	27	0.100000	0.209988	0.815278	0.771759	0.190673	0.695652	0.502686	0.129032	23647	0.100000
19	23876	0.114650	0.006036	20.548588	0.116011	0.250365	0.078321	0.369501	0.066960	33	-0.100000	0.100445	0.806340	0.674018	0.405919	0.754098	0.238639	0.297872	23876	0.100000
20	26323	0.085126	0.003529	17.841547	0.086979	0.244713	0.099130	0.368189	0.070274	28	0.066667	0.056498	0.593496	0.574309	0.045072	0.657895	0.148744	0.176471	26323	0.100000
21	26809	0.183069	0.009865	16.751318	0.187317	0.294840	-0.085404	0.403893	-0.019885	28	0.066667	0.231444	0.768222	0.755754	0.051046	0.707317	0.414296	0.125000	26809	0.100000
22	28100	0.115834	0.003550	29.064802	0.118661	0.296704	-0.092267	0.386131	0.024969	32	-0.066667	0.137007	0.778132	0.690742	0.282580	0.737705	0.295174	0.219512	28100	0.100000
23	28698	0.145371	0.002538	14.173156	0.148338	0.296383	-0.091086	0.416675	-0.052160	29	0.033333	0.185221	0.767506	0.715789	0.181965	0.680000	0.397907	0.236842	28698	0.100000
24	29681	0.225113	0.000963	11.845827	0.225395	0.255317	0.060093	0.424072	-0.070839	29	0.033333	0.146122	0.641797	0.606250	0.090277	0.651163	0.302590	0.171429	29681	0.100000
25	31069	0.178118	0.006415	14.127641	0.182370	0.262662	0.033052	0.369263	0.067563	30	0.000000	0.052423	0.766492	0.748530	0.071428	0.711111	0.138226	0.210526	31069	0.100000
26	31438	0.897304	0.009682	10.995026	0.747406	0.268650	0.011008	0.424788	-0.072647	29	0.033333	0.355904	0.711877	0.687574	0.077790	0.754386	0.605774	0.121212	31438	0.100000
27	31445	0.086576	0.007503	18.623045	0.089093	0.297233	-0.094216	0.389919	0.015403	30	0.000000	0.112976	0.631727	0.515695	0.239584	0.686275	0.270769	0.189189	31445	0.100000
28	32054	0.155459	0.004424	17.472019	0.156723	0.265541	0.022456	0.366996	0.073287	28	0.066667	0.163346	0.694814	0.613125	0.211151	0.711538	0.365766	0.317073	32054	0.100000
29	32592	0.140040	0.007377	14.769917	0.142631	0.257315	0.052736	0.403670	-0.019320	29	0.033333	0.106165	0.714488	0.665249	0.147090	0.609756	0.222117	0.216216	32592	0.100000
30	37311	0.155776	0.005306	13.469170	0.160716	0.258046	0.050045	0.388890	0.018002	28	0.066667	0.068395	0.602219	0.568928	0.077228	0.722222	0.197734	0.243243	37311	0.100000
31	39226	0.160500	0.007364	16.883286	0.168084	0.295533	-0.087957	0.389516	0.016420	28	0.066667	0.113146	0.648377	0.630853	0.047471	0.730769	0.377299	0.151515	39226	0.100000
32	40942	0.058346	0.005877	25.805140	0.062793	0.279150	-0.027644	0.375184	0.052611	32	-0.066667	0.073601	0.746573	0.705076	0.140704	0.714286	0.184932	0.288889	40942	0.100000
33	41209	0.109464	0.009812	15.169406	0.116813	0.259806	0.043567	0.410351	-0.036192	33	-0.100000	0.119195	0.784189	0.690141	0.303519	0.714286	0.288676	0.214286	41209	0.100000
34	42393	0.144588	0.009390	20.396030	0.153143	0.274787	-0.011585	0.375273	0.052386	32	-0.066667	0.151064	0.727561	0.694599	0.107932	0.711538	0.335247	0.219512	42393	0.100000
35	42413	0.142445	0.004472	19.428568	0.145974	0.274847	-0.011804	0.378733	0.043648	29	0.033333	0.142875	0.673198	0.624377	0.129973	0.680000	0.371795	0.121212	42413	0.100000
36	43631	0.179824	0.009515	16.187878	0.186231	0.268919	0.010020	0.387980	0.020299	28	0.066667	0.155029	0.668940	0.603456	0.165138	0.650000	0.345190	0.125000	43631	0.100000
37	44691	0.114149	0.002394	19.496071	0.115016	0.276115	-0.016471	0.388532	0.018906	32	-0.066667	0.104999	0.737779	0.722887	0.053739	0.720000	0.261165	0.157895	44691	0.100000
38	48160	0.152469	0.001883	19.176983	0.154443	0.291007	-0.071293	0.401328	-0.013407	33	-0.100000	0.198786	0.781812	0.746810	0.138244	0.766667	0.394418	0.232558	48160	0.100000
39	48255	0.156002	0.002168	17.294388	0.157853	0.291298	-0.072364	0.398644	-0.006628	29	0.033333	0.127520	0.792358	0.738325	0.206489	0.642857	0.291798	0.147059	48255	0.100000
40	48541	0.068569	0.008131	25.642597	0.073280	0.254653	0.062536	0.370068	0.065529	33	-0.100000	0.095001	0.659445	0.603553	0.140984	0.784615	0.269109	0.297872	48541	0.100000
41	49204	0.249929	0.004075	12.785331	0.251210	0.269224	0.008895	0.413826	-0.044967	28	0.066667	0.094389	0.638037	0.609662	0.072692	0.682927	0.197152	0.125000	49204	0.100000
42	49613	0.434660	0.009806	9.078514	0.254401	0.276353	-0.017350	0.403550	-0.019019	27	0.100000	0.107638	0.705609	0.701890	0.012474	0.594595	0.269432	0.035714	49613	0.100000
43	50865	0.310308	0.004521	12.207671	0.310347	0.248665	0.084580	0.393782	0.005649	27	0.100000	0.105199	0.719078	0.548847	0.377323	0.651163	0.227576	0.181818	50865	0.100000
44	51007	0.091742	0.002344	22.857647	0.092768	0.290910	-0.070936	0.401284	-0.013294	33	-0.100000	0.144162	0.857709	0.782402	0.346084	0.765625	0.305815	0.266667	51007	0.100000
45	51527	0.080700	0.000566	27.693027	0.081045	0.295996	-0.089659	0.407130	-0.028057	32	-0.066667	0.153903	0.618795	0.546506	0.159405	0.753425	0.318159	0.319149	51527	0.100000
46	53511	0.213867	0.004986	8.591728	0.219745	0.289642	-0.066270	0.390963	0.012767	28	0.066667	0.066078	0.756711	0.744631	0.047306	0.666667	0.194798	0.096774	53511	0.100000
47	54250	0.147248	0.005601	18.621023	0.157035	0.294944	-0.085788	0.387011	0.022747	30	0.000000	0.174666	0.702128	0.644503	0.162095	0.703704	0.429721	0.210526	54250	0.100000
48	55989	0.847490	0.004731	13.302001	0.366173	0.285131	-0.049661	0.420538	-0.061914	32	-0.066667	0.277053	0.828057	0.794365	0.163842	0.750000	0.503335	0.255814	55989	0.100000
49	56180	0.134003	0.007376	13.739693	0.137252	0.261969	0.035605	0.420806	-0.062592	29	0.033333	0.079005	0.738283	0.701334	0.123712	0.708333	0.218471	0.147059	56180	0.100000
50	56487	0.503699	0.000569	10.604160	0.503946	0.287942	-0.060010	0.429069	-0.083456	28	0.066667	0.164783	0.695818	0.666773	0.087164	0.653061	0.389599	0.125000	56487	0.100000
51	56826	0.358365	0.006067	9.512406	0.365176	0.293773	-0.081478	0.376675	0.048845	29	0.033333	0.084020	0.755324	0.676325	0.244070	0.526316	0.229163	0.064516	56826	0.100000
52	57834	0.153979	0.008650	16.586712	0.164258	0.277830	-0.022785	0.393245	0.007005	28	0.066667	0.085903	0.723329	0.610447	0.289774	0.735849	0.298373	0.263158	57834	0.100000
53	58961	0.120955	0.007311	11.314060	0.129552	0.252729	0.069619	0.377048	0.047904	30	0.000000	0.104425	0.826950	0.775510	0.229141	0.695652	0.250314	0.210526	58961	0.100000
54	61764	0.181608	0.006902	11.349734	0.186354	0.254183	0.064266	0.379270	0.042293	28	0.066667	0.125218	0.717782	0.638241	0.219873	0.636364	0.385566	0.151515	61764	0.100000
55	62952	0.220921	0.002678	11.326057	0.222590	0.277808	-0.022703	0.364803	0.078823	27	0.100000	0.083716	0.648708	0.643451	0.014743	0.571429	0.194542	0.035714	62952	0.100000
56	63882	0.231586	0.008639	9.795547	0.233916	0.281506	-0.036319	0.382894	0.033141	28	0.066667	0.041124	0.769532	0.718846	0.180278	0.575000	0.114030	0.200000	63882	0.100000
