Acceptancenum	Simnum	Time	T0	T1	TMRCA	Variance	epsilonV	Heterozygosis	epsilonH	Numberofconfig	epsilonC	SASHloc	SH	MASH	SASH	SHchanges	SHdist	HBC	Simnum	Alpha
1	2648	0.019751	0.004074	41.494850	0.021528	0.132289	0.028584	0.222835	-0.036418	23	0.080000	0.021560	0.499255	0.383308	0.188013	0.730769	0.125234	0.510638	2648	0.100000
2	2944	0.051209	0.003493	21.574953	0.052360	0.138762	-0.018946	0.229352	-0.066731	24	0.040000	0.036321	0.565006	0.470611	0.178308	0.723404	0.182622	0.384615	2944	0.100000
3	3032	0.017471	0.004068	52.871037	0.019931	0.135302	0.006462	0.235065	-0.093299	27	-0.080000	0.018081	0.571140	0.510091	0.124613	0.796875	0.101823	0.480769	3032	0.100000
4	6151	0.004318	0.004254	77.313080	0.007256	0.124884	0.082959	0.225967	-0.050985	25	0.000000	0.015150	0.465903	0.459026	0.012713	0.739130	0.078933	0.375000	6151	0.100000
5	11172	0.010782	0.001447	53.763443	0.011697	0.142826	-0.048790	0.205743	0.043077	23	0.080000	0.017232	0.458429	0.362875	0.149977	0.763636	0.228506	0.510638	11172	0.100000
6	12166	0.052763	0.002415	18.290625	0.054346	0.143169	-0.051309	0.229666	-0.068188	23	0.080000	0.047821	0.479465	0.288125	0.268783	0.666667	0.215737	0.323529	12166	0.100000
7	15312	0.021303	0.001867	46.552284	0.023798	0.128740	0.054649	0.218554	-0.016509	25	0.000000	0.033266	0.425470	0.311722	0.165264	0.758621	0.177799	0.479167	15312	0.100000
8	18308	0.029494	0.005831	27.679295	0.031327	0.126361	0.072117	0.216466	-0.006798	24	0.040000	0.017480	0.337216	0.256843	0.108150	0.720000	0.107228	0.466667	18308	0.100000
9	18696	0.006703	0.005327	78.038994	0.009501	0.135019	0.008542	0.207846	0.033296	27	-0.080000	0.011788	0.404792	0.391304	0.022157	0.716667	0.083991	0.460000	18696	0.100000
10	20450	0.019581	0.007532	27.929073	0.022768	0.139948	-0.027653	0.231858	-0.078385	25	0.000000	0.012085	0.505437	0.446765	0.106053	0.666667	0.049458	0.305556	20450	0.100000
11	20627	0.013621	0.007879	52.299797	0.016964	0.132073	0.030172	0.227757	-0.059309	25	0.000000	0.016591	0.423807	0.375503	0.077348	0.641026	0.087114	0.285714	20627	0.100000
12	21955	0.061757	0.005027	19.123720	0.064562	0.146518	-0.075895	0.227250	-0.056950	24	0.040000	0.051789	0.391459	0.291167	0.141488	0.666667	0.256124	0.294118	21955	0.100000
13	22880	0.014045	0.009691	50.383938	0.022089	0.125474	0.078633	0.225102	-0.046961	27	-0.080000	0.018368	0.460833	0.434868	0.045945	0.775862	0.109253	0.437500	22880	0.100000
14	25702	0.054455	0.005315	19.052235	0.056240	0.123043	0.096485	0.217346	-0.010891	25	0.000000	0.010358	0.417381	0.384650	0.053191	0.682927	0.063661	0.285714	25702	0.100000
15	25885	0.056795	0.005169	19.825748	0.058816	0.135667	0.003778	0.234721	-0.091703	23	0.080000	0.016288	0.572188	0.513906	0.119900	0.688889	0.080147	0.425000	25885	0.100000
16	26500	0.006457	0.003161	75.099739	0.009255	0.141797	-0.041233	0.228950	-0.064858	26	-0.040000	0.026245	0.289418	0.231273	0.075638	0.722222	0.126854	0.434783	26500	0.100000
17	26846	0.018953	0.001062	34.152664	0.019260	0.133609	0.018892	0.212977	0.009434	27	-0.080000	0.009562	0.367112	0.338046	0.043908	0.734694	0.063034	0.413043	26846	0.100000
18	27985	0.016513	0.000227	52.121334	0.016595	0.142095	-0.043423	0.210203	0.022336	25	0.000000	0.013574	0.379590	0.334084	0.068336	0.787879	0.089764	0.479167	27985	0.100000
19	32999	0.031985	0.001645	40.840508	0.033685	0.124646	0.084711	0.226832	-0.055008	27	-0.080000	0.009298	0.344491	0.319386	0.036885	0.760000	0.058714	0.386364	32999	0.100000
20	41575	0.032840	0.006059	28.417122	0.034157	0.142438	-0.045942	0.226265	-0.052372	25	0.000000	0.029550	0.541484	0.404832	0.229602	0.709091	0.169970	0.404762	41575	0.100000
21	42752	0.050014	0.006076	19.290178	0.061574	0.122908	0.097470	0.223581	-0.039886	24	0.040000	0.010759	0.266667	0.243106	0.031128	0.675676	0.063490	0.294118	42752	0.100000
22	44377	0.041259	0.004421	21.943729	0.043425	0.132886	0.024203	0.234349	-0.089969	24	0.040000	0.028455	0.467174	0.353235	0.176167	0.717391	0.156092	0.368421	44377	0.100000
23	45318	0.008875	0.007500	45.909546	0.016572	0.123669	0.091885	0.200285	0.068465	23	0.080000	0.015586	0.475133	0.419405	0.095984	0.720000	0.082476	0.500000	45318	0.100000
24	45512	0.030237	0.000019	23.871365	0.030264	0.140567	-0.032198	0.233692	-0.086917	25	0.000000	0.059909	0.567080	0.406931	0.270035	0.725490	0.308781	0.390244	45512	0.100000
25	46162	0.022133	0.000716	38.222431	0.022516	0.132483	0.027160	0.220956	-0.027677	25	0.000000	0.016463	0.444128	0.356235	0.136528	0.754717	0.103307	0.444444	46162	0.100000
26	47462	0.138163	0.009985	13.853015	0.142777	0.128471	0.056620	0.211828	0.014775	23	0.080000	0.037532	0.497896	0.344460	0.234061	0.600000	0.187299	0.178571	47462	0.100000
27	48290	0.066084	0.009583	17.933790	0.071665	0.141305	-0.037619	0.223670	-0.040302	25	0.000000	0.053656	0.607880	0.400190	0.346260	0.734694	0.300699	0.264706	48290	0.100000
28	49755	0.040631	0.003304	24.430780	0.043074	0.139612	-0.025189	0.222566	-0.035169	23	0.080000	0.011039	0.346807	0.337173	0.014534	0.657895	0.065084	0.233333	49755	0.100000
29	50988	0.041948	0.002725	18.135799	0.043227	0.142506	-0.046435	0.195348	0.091425	26	-0.040000	0.006586	0.338032	0.304922	0.047635	0.644444	0.050544	0.277778	50988	0.100000
30	51698	0.027817	0.006200	19.801605	0.032567	0.129635	0.048078	0.208443	0.030521	23	0.080000	0.007251	0.378643	0.358126	0.031965	0.682927	0.068437	0.361111	51698	0.100000
31	53847	0.022065	0.000866	39.614712	0.023068	0.133870	0.016975	0.214960	0.000208	27	-0.080000	0.015023	0.289303	0.262831	0.035910	0.745098	0.114360	0.325000	53847	0.100000
32	54038	0.020362	0.003391	38.032017	0.022797	0.135787	0.002902	0.219956	-0.023030	26	-0.040000	0.014886	0.403125	0.373698	0.046985	0.745455	0.092908	0.446809	54038	0.100000
33	54623	0.006210	0.007178	61.462559	0.010654	0.127450	0.064122	0.214662	0.001595	25	0.000000	0.013147	0.267028	0.248095	0.025181	0.711538	0.072707	0.431818	54623	0.100000
34	61662	0.006726	0.000135	70.280319	0.006975	0.124034	0.089202	0.197913	0.079494	27	-0.080000	0.025512	0.438071	0.342893	0.144843	0.725490	0.131318	0.325000	61662	0.100000
35	62001	0.028188	0.005188	24.918526	0.032345	0.125488	0.078524	0.205087	0.046129	25	0.000000	0.018613	0.421190	0.358187	0.098165	0.693878	0.128159	0.375000	62001	0.100000
36	62877	0.028966	0.002910	29.404758	0.033019	0.140872	-0.034443	0.213215	0.008324	24	0.040000	0.016516	0.422587	0.374072	0.077509	0.735849	0.119226	0.454545	62877	0.100000
37	63113	0.013101	0.003757	59.451572	0.015465	0.126585	0.070474	0.219479	-0.020810	24	0.040000	0.013314	0.474599	0.379900	0.152715	0.774194	0.086164	0.547170	63113	0.100000
38	66123	0.020281	0.007837	46.944965	0.025744	0.128598	0.055689	0.201120	0.064580	25	0.000000	0.040459	0.379625	0.330538	0.073323	0.816901	0.300470	0.568966	66123	0.100000
39	66356	0.003608	0.008782	105.991592	0.008430	0.123572	0.092597	0.214900	0.000486	24	0.040000	0.015465	0.484331	0.402630	0.136767	0.674419	0.094159	0.441860	66356	0.100000
40	69586	0.003094	0.002042	142.428787	0.008563	0.136435	-0.001862	0.226668	-0.054245	26	-0.040000	0.018533	0.483901	0.475625	0.015781	0.716981	0.085094	0.458333	69586	0.100000
41	70946	0.014579	0.001719	53.049500	0.015942	0.125764	0.076498	0.206012	0.041828	27	-0.080000	0.018664	0.455923	0.355644	0.155628	0.791045	0.127174	0.500000	70946	0.100000
42	71911	0.025399	0.006745	26.072773	0.029671	0.123527	0.092925	0.213633	0.006382	23	0.080000	0.009090	0.346610	0.317594	0.042520	0.666667	0.065720	0.303030	71911	0.100000
43	72846	0.017711	0.007698	56.631374	0.020884	0.141700	-0.040521	0.226235	-0.052233	26	-0.040000	0.018676	0.330161	0.256410	0.099182	0.724138	0.141901	0.380952	72846	0.100000
44	81430	0.011990	0.004788	39.352791	0.023759	0.131268	0.036086	0.212007	0.013943	23	0.080000	0.021235	0.265664	0.247410	0.024255	0.675000	0.109072	0.361111	81430	0.100000
45	82002	0.004387	0.001159	137.264282	0.005397	0.123482	0.093254	0.200807	0.066037	24	0.040000	0.016351	0.356190	0.292619	0.089867	0.765625	0.108284	0.510204	82002	0.100000
46	82262	0.005556	0.009015	61.998047	0.012679	0.126726	0.069434	0.202581	0.057783	26	-0.040000	0.013198	0.440784	0.387729	0.086653	0.714286	0.071049	0.434783	82262	0.100000
47	82617	0.047666	0.003649	17.814573	0.049837	0.134676	0.011061	0.232380	-0.080812	27	-0.080000	0.022705	0.487156	0.458104	0.053612	0.666667	0.125293	0.289474	82617	0.100000
48	83406	0.021596	0.000004	30.297157	0.021601	0.144124	-0.058318	0.223521	-0.039609	27	-0.080000	0.012011	0.303411	0.285173	0.025514	0.745098	0.082909	0.307692	83406	0.100000
49	87459	0.004847	0.006923	83.477180	0.014891	0.128218	0.058482	0.230009	-0.069783	23	0.080000	0.066517	0.634354	0.567228	0.155107	0.717391	0.371890	0.425000	87459	0.100000
50	87624	0.010393	0.005295	64.604156	0.015064	0.134817	0.010021	0.233305	-0.085113	27	-0.080000	0.030611	0.599077	0.443811	0.279160	0.793651	0.168948	0.460000	87624	0.100000
51	90446	0.023293	0.001791	44.624538	0.024291	0.145667	-0.069653	0.225191	-0.047378	26	-0.040000	0.008774	0.398118	0.382768	0.024870	0.698113	0.059899	0.365854	90446	0.100000
52	90963	0.069780	0.000927	19.885403	0.070458	0.138098	-0.014073	0.231291	-0.075749	24	0.040000	0.004064	0.344491	0.337374	0.010740	0.666667	0.024711	0.250000	90963	0.100000
53	92133	0.011073	0.008143	55.798309	0.018290	0.136532	-0.002574	0.226847	-0.055077	27	-0.080000	0.022043	0.516707	0.464164	0.098057	0.722222	0.110593	0.425532	92133	0.100000
54	94812	0.019452	0.005747	40.876057	0.023120	0.126353	0.072172	0.232842	-0.082963	24	0.040000	0.015653	0.452421	0.377574	0.120250	0.796610	0.088348	0.500000	94812	0.100000
55	95855	0.020325	0.005114	35.687752	0.023953	0.124042	0.089147	0.196556	0.085807	25	0.000000	0.013425	0.432987	0.363996	0.108476	0.740741	0.080569	0.444444	95855	0.100000
56	100048	0.003091	0.004257	151.198944	0.006147	0.123356	0.094185	0.220120	-0.023793	26	-0.040000	0.014509	0.487315	0.425476	0.107635	0.734694	0.082825	0.409091	100048	0.100000
57	100412	0.007342	0.001186	92.306862	0.008472	0.131051	0.037674	0.203745	0.052372	27	-0.080000	0.016127	0.362201	0.336603	0.038585	0.777778	0.126506	0.480769	100412	0.100000
58	100491	0.038799	0.004970	19.147245	0.045963	0.138218	-0.014949	0.218092	-0.014359	24	0.040000	0.013966	0.361282	0.304606	0.081502	0.666667	0.090507	0.250000	100491	0.100000
59	100964	0.034387	0.008696	27.096262	0.048489	0.130544	0.041397	0.229144	-0.065760	24	0.040000	0.008841	0.370758	0.366417	0.006852	0.648649	0.053506	0.225806	100964	0.100000
60	101187	0.068484	0.008295	17.600624	0.074545	0.130589	0.041069	0.196109	0.087888	24	0.040000	0.008889	0.190187	0.181503	0.010610	0.675000	0.061084	0.294118	101187	0.100000
61	104740	0.026528	0.006130	31.415796	0.029319	0.144295	-0.059577	0.236198	-0.098571	24	0.040000	0.008383	0.477941	0.438914	0.069556	0.734694	0.049154	0.478261	104740	0.100000
62	105088	0.002079	0.008997	119.485947	0.009771	0.124348	0.086902	0.221105	-0.028371	24	0.040000	0.024859	0.511324	0.403310	0.181021	0.684211	0.110720	0.314286	105088	0.100000
63	106835	0.021302	0.009690	34.783379	0.034758	0.124146	0.088380	0.223864	-0.041204	26	-0.040000	0.025525	0.464328	0.385024	0.128955	0.769231	0.151058	0.434783	106835	0.100000
64	106942	0.002403	0.004612	127.363625	0.004606	0.128195	0.058646	0.230650	-0.072766	23	0.080000	0.032867	0.228766	0.157443	0.084650	0.697674	0.144936	0.452381	106942	0.100000
65	108660	0.065643	0.006308	14.494742	0.071476	0.137308	-0.008269	0.229815	-0.068881	24	0.040000	0.038820	0.507167	0.389366	0.192915	0.714286	0.211195	0.351351	108660	0.100000
66	109719	0.072336	0.006032	17.874367	0.076739	0.137427	-0.009145	0.230441	-0.071795	23	0.080000	0.024844	0.563190	0.462822	0.186843	0.700000	0.131861	0.394737	109719	0.100000
67	110188	0.033942	0.007709	21.800844	0.043187	0.124922	0.082685	0.222432	-0.034545	24	0.040000	0.037304	0.449105	0.296861	0.216520	0.682927	0.162675	0.272727	110188	0.100000
68	111188	0.049182	0.000393	25.311466	0.049835	0.140902	-0.034662	0.228055	-0.060696	27	-0.080000	0.026479	0.504319	0.419207	0.146544	0.651163	0.146816	0.250000	111188	0.100000
69	112085	0.089104	0.007156	16.494188	0.090930	0.141171	-0.036633	0.215989	-0.004578	23	0.080000	0.029227	0.358017	0.290089	0.095686	0.674419	0.183672	0.303030	112085	0.100000
70	113067	0.030840	0.000133	25.703943	0.030928	0.149045	-0.094459	0.206832	0.038013	23	0.080000	0.009207	0.232618	0.185083	0.058331	0.673913	0.093795	0.323529	113067	0.100000
71	113243	0.012105	0.002009	53.263664	0.014937	0.129374	0.049994	0.218256	-0.015122	25	0.000000	0.010189	0.364814	0.329196	0.053097	0.796875	0.067792	0.489796	113243	0.100000
72	119539	0.039655	0.005317	31.249355	0.044411	0.147330	-0.081864	0.232052	-0.079286	25	0.000000	0.055140	0.736325	0.498737	0.473979	0.720000	0.284856	0.456522	119539	0.100000
73	120630	0.034995	0.005151	33.819656	0.038522	0.125981	0.074910	0.221642	-0.030868	24	0.040000	0.052828	0.594304	0.369962	0.356077	0.771930	0.284661	0.478261	120630	0.100000
74	121217	0.021886	0.001883	48.908455	0.022913	0.144989	-0.064670	0.233379	-0.085460	26	-0.040000	0.024863	0.461216	0.384579	0.124527	0.735849	0.129962	0.395349	121217	0.100000
75	122258	0.005538	0.006757	96.852562	0.012332	0.124996	0.082138	0.197018	0.083656	27	-0.080000	0.008596	0.335603	0.305366	0.043529	0.745455	0.050760	0.386364	122258	0.100000
76	124576	0.007345	0.008762	79.514572	0.012552	0.132036	0.030446	0.212470	0.011792	27	-0.080000	0.059628	0.603643	0.391996	0.348101	0.735849	0.212514	0.400000	124576	0.100000
77	124983	0.005853	0.008954	64.889702	0.018116	0.144042	-0.057716	0.216004	-0.004648	27	-0.080000	0.031276	0.410966	0.315689	0.139230	0.717391	0.154283	0.325000	124983	0.100000
78	139104	0.044248	0.002811	23.716835	0.045494	0.131521	0.034224	0.197854	0.079772	25	0.000000	0.011997	0.260264	0.228572	0.041083	0.658537	0.085395	0.242424	139104	0.100000
79	144310	0.020352	0.005380	37.556023	0.023768	0.122864	0.097799	0.199390	0.072627	23	0.080000	0.009871	0.340835	0.290323	0.071177	0.739130	0.069179	0.452381	144310	0.100000
80	144772	0.006682	0.000731	80.906845	0.007809	0.127420	0.064341	0.215124	-0.000555	26	-0.040000	0.028051	0.474162	0.393541	0.132938	0.810811	0.167964	0.535714	144772	0.100000
