Acceptancenum	Simnum	Time	T0	T1	TMRCA	Variance	epsilonV	Heterozygosis	epsilonH	Numberofconfig	epsilonC	SASHloc	SH	MASH	SASH	SHchanges	SHdist	HBC	Simnum	Alpha
33	78872	0.023586	0.005960	47.837490	0.027363	0.194348	-0.095502	0.274155	-0.077744	30	-0.034483	0.031465	0.518519	0.491276	0.053550	0.750000	0.143258	0.387755	78872	0.100000
34	81565	0.005716	0.009750	56.179039	0.015495	0.171797	0.031610	0.262924	-0.033595	28	0.034483	0.022231	0.201811	0.184347	0.021411	0.634146	0.072960	0.176471	81565	0.100000
35	83343	0.056992	0.002474	23.764587	0.058363	0.159746	0.099538	0.268085	-0.053881	29	0.000000	0.043707	0.542257	0.410845	0.223051	0.708333	0.195079	0.216216	83343	0.100000
36	83861	0.003496	0.006994	96.138557	0.010927	0.168814	0.048424	0.230650	0.093280	28	0.034483	0.056873	0.448652	0.360796	0.137446	0.717391	0.278768	0.333333	83861	0.100000
37	84785	0.036899	0.008937	21.455786	0.046903	0.172356	0.028457	0.266802	-0.048839	30	-0.034483	0.041867	0.667627	0.569932	0.227162	0.732143	0.184792	0.302326	84785	0.100000
38	91312	0.051877	0.009210	16.469946	0.060531	0.173736	0.020681	0.257212	-0.011140	28	0.034483	0.024807	0.595015	0.495950	0.196539	0.627907	0.114124	0.263158	91312	0.100000
39	92293	0.032268	0.003340	38.293953	0.033514	0.161275	0.090921	0.269636	-0.059979	29	0.000000	0.022585	0.439010	0.412852	0.044551	0.696429	0.120031	0.355556	92293	0.100000
40	95842	0.032402	0.005517	23.193104	0.034991	0.169836	0.042665	0.236452	0.070473	27	0.068966	0.010881	0.452812	0.412959	0.067888	0.695652	0.068056	0.307692	95842	0.100000
41	103186	0.072533	0.001480	23.145981	0.073606	0.186607	-0.051870	0.256004	-0.006391	27	0.068966	0.027808	0.625364	0.589504	0.087359	0.673913	0.129904	0.289474	103186	0.100000
42	103455	0.039042	0.008385	23.169382	0.043055	0.170776	0.037369	0.266012	-0.045731	27	0.068966	0.050250	0.604007	0.399234	0.340854	0.705882	0.201581	0.341463	103455	0.100000
43	104126	0.064827	0.005222	22.277203	0.070162	0.174355	0.017192	0.259494	-0.020110	27	0.068966	0.104220	0.732495	0.519748	0.442991	0.739130	0.359154	0.341463	104126	0.100000
44	106634	0.028446	0.003722	24.775730	0.030680	0.184310	-0.038924	0.273066	-0.073463	31	-0.068966	0.016650	0.529933	0.497906	0.063788	0.741379	0.101824	0.295455	106634	0.100000
45	107430	0.022894	0.007578	43.851048	0.029722	0.169635	0.043800	0.262238	-0.030898	31	-0.068966	0.010770	0.598977	0.548449	0.111899	0.740741	0.091140	0.311111	107430	0.100000
46	107574	0.005471	0.006002	88.498901	0.010595	0.175019	0.013451	0.278748	-0.095802	31	-0.068966	0.021077	0.272850	0.262273	0.014338	0.735849	0.090354	0.311111	107574	0.100000
47	111076	0.018388	0.007031	40.376251	0.022035	0.191022	-0.076755	0.263924	-0.037523	30	-0.034483	0.016120	0.594212	0.524827	0.146022	0.772727	0.077063	0.444444	111076	0.100000
48	112153	0.087599	0.006617	21.944281	0.100884	0.173400	0.022573	0.277212	-0.089763	27	0.068966	0.080016	0.587162	0.404730	0.306470	0.673913	0.242419	0.228571	112153	0.100000
49	114012	0.006079	0.006267	151.079971	0.009325	0.161767	0.088146	0.251440	0.011550	30	-0.034483	0.026349	0.525485	0.467192	0.109407	0.827160	0.139073	0.464286	114012	0.100000
50	119715	0.011841	0.009956	54.870136	0.029533	0.167636	0.055065	0.274617	-0.079561	31	-0.068966	0.027827	0.717143	0.607714	0.278951	0.761905	0.157930	0.403846	119715	0.100000
51	119869	0.040427	0.000226	29.726189	0.040579	0.174124	0.018495	0.273961	-0.076981	31	-0.068966	0.045214	0.782609	0.624422	0.421182	0.750000	0.206997	0.295455	119869	0.100000
52	123455	0.042347	0.008911	22.372135	0.050408	0.159776	0.099370	0.248338	0.023745	27	0.068966	0.034495	0.495495	0.421107	0.128501	0.686275	0.161105	0.307692	123455	0.100000
53	126184	0.036750	0.009224	23.645348	0.040337	0.161305	0.090752	0.272947	-0.072994	27	0.068966	0.043083	0.425951	0.389965	0.058990	0.666667	0.187508	0.270270	126184	0.100000
54	126401	0.099180	0.007277	13.995350	0.105842	0.173743	0.020639	0.274796	-0.080264	29	0.000000	0.036747	0.542231	0.473912	0.129863	0.666667	0.163945	0.216216	126401	0.100000
55	126522	0.029886	0.005641	34.652584	0.040576	0.169806	0.042833	0.274378	-0.078623	31	-0.068966	0.045493	0.583829	0.517730	0.137058	0.754386	0.178741	0.326087	126522	0.100000
56	126951	0.015277	0.000149	63.545132	0.015494	0.165958	0.064523	0.275706	-0.083841	28	0.034483	0.036464	0.652061	0.577132	0.177191	0.810811	0.164299	0.540984	126951	0.100000
57	128084	0.013262	0.009895	61.034248	0.026060	0.169732	0.043253	0.246921	0.029315	31	-0.068966	0.033425	0.597523	0.521812	0.158328	0.742424	0.130158	0.392157	128084	0.100000
58	134878	0.009519	0.005026	92.009392	0.013716	0.170015	0.041656	0.260956	-0.025856	30	-0.034483	0.028927	0.681872	0.582990	0.237122	0.815789	0.140915	0.531250	134878	0.100000
59	139217	0.025213	0.007292	29.726011	0.029712	0.173922	0.019630	0.270098	-0.061796	30	-0.034483	0.024528	0.619749	0.466068	0.287828	0.754098	0.112391	0.433962	139217	0.100000
60	139302	0.042929	0.003397	25.727886	0.052483	0.168009	0.052964	0.273290	-0.074343	29	0.000000	0.020253	0.549106	0.513356	0.073462	0.730769	0.097755	0.340909	139302	0.100000
61	140045	0.121930	0.003679	22.968071	0.124523	0.191827	-0.081295	0.275363	-0.082492	27	0.068966	0.054870	0.634497	0.592109	0.103921	0.705882	0.314761	0.270270	140045	0.100000
62	142980	0.030460	0.007462	38.079731	0.034498	0.161834	0.087768	0.256392	-0.007915	28	0.034483	0.015030	0.656742	0.602452	0.136564	0.693878	0.079466	0.348837	142980	0.100000
63	144496	0.024053	0.008578	33.545834	0.034358	0.166264	0.062800	0.278539	-0.094981	29	0.000000	0.095859	0.768475	0.570766	0.460609	0.716981	0.313523	0.292683	144496	0.100000
64	146891	0.012476	0.009158	42.232552	0.031693	0.161476	0.089786	0.258659	-0.016827	27	0.068966	0.086913	0.400768	0.364809	0.056612	0.711538	0.313965	0.325000	146891	0.100000
65	147349	0.044204	0.000248	32.367992	0.044538	0.168374	0.050904	0.256302	-0.007563	31	-0.068966	0.042944	0.545980	0.468189	0.146275	0.701754	0.155111	0.295455	147349	0.100000
66	150629	0.041355	0.009369	24.609285	0.049103	0.163080	0.080748	0.264759	-0.040807	27	0.068966	0.058447	0.668858	0.479499	0.363801	0.750000	0.248369	0.425532	150629	0.100000
67	150785	0.036651	0.001911	19.670811	0.040822	0.170887	0.036738	0.257167	-0.010964	27	0.068966	0.017375	0.465137	0.426803	0.066877	0.695652	0.081135	0.307692	150785	0.100000
68	154434	0.002125	0.008239	152.222305	0.005896	0.174154	0.018327	0.259539	-0.020286	29	0.000000	0.061389	0.674340	0.557464	0.264105	0.733333	0.197823	0.408163	154434	0.100000
