Acceptancenum	Simnum	Time	T0	T1	TMRCA	Variance	epsilonV	Heterozygosis	epsilonH	Numberofconfig	epsilonC	SASHloc	SH	MASH	SASH	SHchanges	SHdist	HBC	Simnum	Alpha
1	682	0.454857	0.005454	9.560955	0.359787	0.363860	-0.080424	0.444694	-0.080718	27	0.068966	0.071431	0.733850	0.727390	0.023698	0.525000	0.143997	0.068965	682	0.100000
2	2493	0.239729	0.006102	9.951089	0.242085	0.348709	-0.035434	0.405360	0.014874	27	0.068966	0.125402	0.809422	0.785867	0.109999	0.578947	0.197438	0.068965	2493	0.100000
3	2645	0.868592	0.009514	12.302833	0.872902	0.357759	-0.062307	0.414577	-0.007528	28	0.034483	0.155795	0.815789	0.788277	0.129944	0.627451	0.383635	0.151515	2645	0.100000
4	3408	0.097211	0.001032	16.506186	0.097814	0.315644	0.062746	0.408942	0.006167	27	0.068966	0.090153	0.685132	0.634111	0.139443	0.500000	0.159780	0.068965	3408	0.100000
5	3757	0.151421	0.006989	20.207668	0.161673	0.344324	-0.022414	0.409278	0.005351	27	0.068966	0.195984	0.795000	0.711250	0.290043	0.648148	0.354992	0.228571	3757	0.100000
6	4039	0.465328	0.008666	11.893441	0.467184	0.325328	0.033990	0.447455	-0.087429	29	0.000000	0.140025	0.745152	0.711911	0.115384	0.678571	0.441067	0.147059	4039	0.100000
7	5097	0.151593	0.007283	14.567163	0.157857	0.344025	-0.021527	0.442791	-0.076093	28	0.034483	0.130459	0.646393	0.640735	0.015749	0.608696	0.237375	0.096774	5097	0.100000
8	5243	0.306199	0.004978	9.166492	0.307531	0.314002	0.067622	0.426370	-0.036187	31	-0.068966	0.103563	0.810937	0.805469	0.028112	0.630435	0.196803	0.060606	5243	0.100000
9	6003	0.427158	0.001023	12.464178	0.427174	0.354493	-0.052610	0.429953	-0.044894	27	0.068966	0.267456	0.646638	0.533619	0.242332	0.633333	0.543398	0.156250	6003	0.100000
10	6404	0.172702	0.008963	12.008957	0.178663	0.326616	0.030167	0.433573	-0.053691	28	0.034483	0.068576	0.782609	0.766046	0.070796	0.627907	0.151980	0.096774	6404	0.100000
11	6532	0.164276	0.009122	17.066273	0.169571	0.316391	0.060530	0.438275	-0.065119	28	0.034483	0.137983	0.630592	0.617605	0.033962	0.644444	0.247533	0.034483	6532	0.100000
