tau	theta0	theta1	pvalue	downtau(alpha=0.01)	uptau(alpha=0.01)	downtau(alpha=0.05)	uptau(alpha=0.05)	downtau(alpha=0.1)	uptau(alpha=0.1)	downtheta0(alpha=0.01)	uptheta0(alpha=0.01)	downtheta0(alpha=0.05)	uptheta0(alpha=0.05)	downtheta0(alpha=0.1)	uptheta0(alpha=0.1)	downtheta1(alpha=0.01)	uptheta1(alpha=0.01)	downtheta1(alpha=0.05)	uptheta1(alpha=0.05)	downtheta1(alpha=0.1)	uptheta1(alpha=0.1)	IS_tau	IS_theta0	IS_theta1	IS_pvalue	IS_downtau(alpha=0.01)	IS_uptau(alpha=0.01)	IS_downtau(alpha=0.05)	IS_uptau(alpha=0.05)	IS_downtau(alpha=0.1)	IS_uptau(alpha=0.1)	IS_downtheta0(alpha=0.01)	IS_uptheta0(alpha=0.01)	IS_downtheta0(alpha=0.05)	IS_uptheta0(alpha=0.05)	IS_downtheta0(alpha=0.1)	IS_uptheta0(alpha=0.1)	IS_downtheta1(alpha=0.01)	IS_uptheta1(alpha=0.01)	IS_downtheta1(alpha=0.05)	IS_uptheta1(alpha=0.05)	IS_downtheta1(alpha=0.1)	IS_uptheta1(alpha=0.1)	MSH	SH	MASH	P	SHchanges	DH	HBC
1.381	0.000	99999.000	0.20000000	1.037	1.676	1.037	1.676	1.037	1.676	0.000	0.000	0.000	0.000	0.000	0.000	3.536	99999.000	3.536	99999.000	3.536	99999.000	1.750	0.000	99999.000	0.70000000	1.486	2.084	1.486	2.084	1.486	2.084	0.000	0.007	0.000	0.007	0.000	0.007	5.387	99999.000	5.387	99999.000	5.387	99999.000	0.031822	0.537390	0.362659	0.274156	0.766667	0.232784	0.490196
1.797	0.000	46.978	0.70000000	0.754	2.629	0.754	2.629	0.754	2.629	0.000	1.584	0.000	1.584	0.000	1.584	2.696	99999.000	2.696	99999.000	2.696	99999.000	1.955	0.000	17.584	0.80000000	1.389	2.342	1.389	2.342	1.389	2.342	0.000	0.095	0.000	0.095	0.000	0.095	7.154	99999.000	7.154	99999.000	7.154	99999.000	0.007124	0.437196	0.419170	0.031034	0.741935	0.057667	0.306122
1.436	0.000	99999.000	0.30000000	1.068	1.787	1.068	1.787	1.068	1.787	0.000	0.230	0.000	0.230	0.000	0.230	26.930	99999.000	26.930	99999.000	26.930	99999.000	1.500	0.000	99999.000	0.30000000	1.178	1.666	1.178	1.666	1.178	1.666	0.000	0.016	0.000	0.016	0.000	0.016	42.047	99999.000	42.047	99999.000	42.047	99999.000	0.009034	0.315672	0.280999	0.048225	0.796610	0.057063	0.480000
1.414	0.000	99999.000	0.00000000	1.100	1.531	1.100	1.531	1.100	1.531	0.000	0.323	0.000	0.323	0.000	0.323	99999.000	99999.000	99999.000	99999.000	99999.000	99999.000	1.496	0.000	99999.000	0.20000000	0.996	1.834	0.996	1.834	0.996	1.834	0.000	0.046	0.000	0.046	0.000	0.046	46.969	99999.000	46.969	99999.000	46.969	99999.000	0.018257	0.420259	0.370801	0.078604	0.720000	0.105320	0.340909
0.969	0.000	99999.000	0.20000000	0.844	1.088	0.844	1.088	0.844	1.088	0.000	0.011	0.000	0.011	0.000	0.011	25.523	99999.000	25.523	99999.000	25.523	99999.000	0.992	0.000	99999.000	0.30000000	0.867	1.117	0.867	1.117	0.867	1.117	0.000	0.030	0.000	0.030	0.000	0.030	4.215	99999.000	4.215	99999.000	4.215	99999.000	0.008403	0.258522	0.228721	0.038638	0.700000	0.091009	0.411765
1.492	0.000	99999.000	0.40000000	1.195	1.668	1.195	1.668	1.195	1.668	0.000	0.019	0.000	0.019	0.000	0.019	4.381	99999.000	4.381	99999.000	4.381	99999.000	1.684	0.000	99999.000	0.50000000	1.408	1.840	1.408	1.840	1.408	1.840	0.000	0.534	0.000	0.534	0.000	0.534	9.684	99999.000	9.684	99999.000	9.684	99999.000	0.018711	0.518030	0.430490	0.153712	0.789474	0.122249	0.500000
1.447	0.000	99999.000	0.10000000	0.959	1.877	0.959	1.877	0.959	1.877	0.000	0.396	0.000	0.396	0.000	0.396	5.768	99999.000	5.768	99999.000	5.768	99999.000	1.521	0.002	99999.000	0.10000000	0.959	2.193	0.959	2.193	0.959	2.193	0.000	0.033	0.000	0.033	0.000	0.033	31.734	99999.000	31.734	99999.000	31.734	99999.000	0.008369	0.421756	0.388466	0.054436	0.811594	0.054587	0.436364
1.352	0.000	99999.000	0.10000000	1.094	1.561	1.094	1.561	1.094	1.561	0.000	0.051	0.000	0.051	0.000	0.051	30.562	99999.000	30.562	99999.000	30.562	99999.000	1.594	0.000	99999.000	0.10000000	1.150	1.943	1.150	1.943	1.150	1.943	0.000	0.202	0.000	0.202	0.000	0.202	8.531	99999.000	8.531	99999.000	8.531	99999.000	0.029550	0.509637	0.390645	0.195276	0.815385	0.227907	0.574074
1.242	0.000	99999.000	0.80000000	1.211	1.506	1.211	1.506	1.211	1.506	0.000	0.021	0.000	0.021	0.000	0.021	6.256	99999.000	6.256	99999.000	6.256	99999.000	1.275	0.000	99999.000	1.00000000	0.994	1.619	0.994	1.619	0.994	1.619	0.000	0.019	0.000	0.019	0.000	0.019	42.203	99999.000	42.203	99999.000	42.203	99999.000	0.008805	0.329681	0.306006	0.034113	0.759259	0.066925	0.391304
1.109	0.005	99999.000	0.40000000	0.742	1.436	0.742	1.436	0.742	1.436	0.000	0.011	0.000	0.011	0.000	0.011	46.188	99999.000	46.188	99999.000	46.188	99999.000	1.197	0.009	99999.000	0.80000000	0.910	1.391	0.910	1.391	0.910	1.391	0.000	0.014	0.000	0.014	0.000	0.014	99999.000	99999.000	99999.000	99999.000	99999.000	99999.000	0.009630	0.275725	0.214207	0.078289	0.754717	0.085746	0.521739
