tau	theta0	theta1	pvalue	downtau(alpha=0.01)	uptau(alpha=0.01)	downtau(alpha=0.05)	uptau(alpha=0.05)	downtau(alpha=0.1)	uptau(alpha=0.1)	downtheta0(alpha=0.01)	uptheta0(alpha=0.01)	downtheta0(alpha=0.05)	uptheta0(alpha=0.05)	downtheta0(alpha=0.1)	uptheta0(alpha=0.1)	downtheta1(alpha=0.01)	uptheta1(alpha=0.01)	downtheta1(alpha=0.05)	uptheta1(alpha=0.05)	downtheta1(alpha=0.1)	uptheta1(alpha=0.1)	IS_tau	IS_theta0	IS_theta1	IS_pvalue	IS_downtau(alpha=0.01)	IS_uptau(alpha=0.01)	IS_downtau(alpha=0.05)	IS_uptau(alpha=0.05)	IS_downtau(alpha=0.1)	IS_uptau(alpha=0.1)	IS_downtheta0(alpha=0.01)	IS_uptheta0(alpha=0.01)	IS_downtheta0(alpha=0.05)	IS_uptheta0(alpha=0.05)	IS_downtheta0(alpha=0.1)	IS_uptheta0(alpha=0.1)	IS_downtheta1(alpha=0.01)	IS_uptheta1(alpha=0.01)	IS_downtheta1(alpha=0.05)	IS_uptheta1(alpha=0.05)	IS_downtheta1(alpha=0.1)	IS_uptheta1(alpha=0.1)	MSH	SH	MASH	P	SHchanges	DH	HBC
1.381	0.000	99999.000	0.10000000	1.041	1.670	1.041	1.670	1.041	1.670	0.000	0.619	0.000	0.619	0.000	0.619	6.139	99999.000	6.139	99999.000	6.139	99999.000	1.750	0.000	99999.000	0.20000000	1.277	1.871	1.277	1.871	1.277	1.871	0.000	0.383	0.000	0.383	0.000	0.383	10.367	99999.000	10.367	99999.000	10.367	99999.000	0.031822	0.537390	0.362659	0.274156	0.766667	0.232784	0.490196
1.797	0.000	46.978	0.80000000	1.383	2.486	1.383	2.486	1.383	2.486	0.000	0.040	0.000	0.040	0.000	0.040	8.365	99999.000	8.365	99999.000	8.365	99999.000	1.955	0.000	17.584	0.80000000	0.000	2.846	0.000	2.846	0.000	2.846	0.000	0.867	0.000	0.867	0.000	0.867	6.558	99999.000	6.558	99999.000	6.558	99999.000	0.007124	0.437196	0.419170	0.031034	0.741935	0.057667	0.306122
1.436	0.000	99999.000	0.30000000	1.328	1.879	1.328	1.879	1.328	1.879	0.000	0.060	0.000	0.060	0.000	0.060	8.053	99999.000	8.053	99999.000	8.053	99999.000	1.500	0.000	99999.000	0.40000000	1.330	1.762	1.330	1.762	1.330	1.762	0.000	0.127	0.000	0.127	0.000	0.127	5.816	99999.000	5.816	99999.000	5.816	99999.000	0.009034	0.315672	0.280999	0.048225	0.796610	0.057063	0.480000
1.414	0.000	99999.000	0.10000000	1.289	1.646	1.289	1.646	1.289	1.646	0.000	0.019	0.000	0.019	0.000	0.019	7.691	99999.000	7.691	99999.000	7.691	99999.000	1.496	0.000	99999.000	0.00000000	1.299	2.156	1.299	2.156	1.299	2.156	0.000	0.016	0.000	0.016	0.000	0.016	42.594	99999.000	42.594	99999.000	42.594	99999.000	0.018257	0.420259	0.370801	0.078604	0.720000	0.105320	0.340909
0.969	0.000	99999.000	0.10000000	0.934	1.361	0.934	1.361	0.934	1.361	0.000	0.044	0.000	0.044	0.000	0.044	3.375	99999.000	3.375	99999.000	3.375	99999.000	0.992	0.000	99999.000	0.40000000	0.762	1.516	0.762	1.516	0.762	1.516	0.000	0.019	0.000	0.019	0.000	0.019	20.055	99999.000	20.055	99999.000	20.055	99999.000	0.008404	0.258522	0.228721	0.038638	0.700000	0.091009	0.411765
1.492	0.000	99999.000	0.30000000	1.246	1.910	1.246	1.910	1.246	1.910	0.000	0.058	0.000	0.058	0.000	0.058	3.465	99999.000	3.465	99999.000	3.465	99999.000	1.684	0.000	99999.000	0.60000000	1.430	2.094	1.430	2.094	1.430	2.094	0.000	0.019	0.000	0.019	0.000	0.019	27.555	99999.000	27.555	99999.000	27.555	99999.000	0.018711	0.518030	0.430490	0.153712	0.789474	0.122249	0.500000
1.447	0.000	99999.000	0.00000000	1.246	1.736	1.246	1.736	1.246	1.736	0.000	0.018	0.000	0.018	0.000	0.018	41.266	99999.000	41.266	99999.000	41.266	99999.000	1.521	0.002	99999.000	0.10000000	1.240	1.738	1.240	1.738	1.240	1.738	0.000	0.067	0.000	0.067	0.000	0.067	99999.000	99999.000	99999.000	99999.000	99999.000	99999.000	0.008369	0.421756	0.388466	0.054436	0.811594	0.054587	0.436364
1.352	0.000	99999.000	0.00000000	1.146	2.479	1.146	2.479	1.146	2.479	0.000	0.026	0.000	0.026	0.000	0.026	2.364	99999.000	2.364	99999.000	2.364	99999.000	1.594	0.000	99999.000	0.00000000	1.094	1.771	1.094	1.771	1.094	1.771	0.000	0.002	0.000	0.002	0.000	0.002	6.949	99999.000	6.949	99999.000	6.949	99999.000	0.029550	0.509637	0.390645	0.195276	0.815385	0.227907	0.574074
1.242	0.000	99999.000	0.70000000	0.996	1.496	0.996	1.496	0.996	1.496	0.000	0.012	0.000	0.012	0.000	0.012	7.115	99999.000	7.115	99999.000	7.115	99999.000	1.275	0.000	99999.000	1.00000000	0.893	1.426	0.893	1.426	0.893	1.426	0.000	0.016	0.000	0.016	0.000	0.016	21.188	99999.000	21.188	99999.000	21.188	99999.000	0.008805	0.329681	0.306006	0.034113	0.759259	0.066925	0.391304
1.109	0.005	99999.000	0.40000000	0.936	1.176	0.936	1.176	0.936	1.176	0.000	0.016	0.000	0.016	0.000	0.016	15.816	99999.000	15.816	99999.000	15.816	99999.000	1.197	0.009	99999.000	0.40000000	0.932	1.428	0.932	1.428	0.932	1.428	0.000	0.121	0.000	0.121	0.000	0.121	61.109	99999.000	61.109	99999.000	61.109	99999.000	0.009630	0.275725	0.214207	0.078289	0.754717	0.085746	0.521739
1.281	0.016	99999.000	0.70000000	1.084	1.533	1.084	1.533	1.084	1.533	0.000	0.012	0.000	0.012	0.000	0.012	19.273	99999.000	19.273	99999.000	19.273	99999.000	1.402	0.000	2498.150	1.00000000	1.145	1.980	1.145	1.980	1.145	1.980	0.000	0.030	0.000	0.030	0.000	0.030	4.053	99999.000	4.053	99999.000	4.053	99999.000	0.012804	0.338543	0.280597	0.080548	0.775862	0.092641	0.382979
1.418	0.000	99999.000	0.00000000	0.947	1.717	0.947	1.717	0.947	1.717	0.000	0.188	0.000	0.188	0.000	0.188	3.268	99999.000	3.268	99999.000	3.268	99999.000	1.496	0.000	99999.000	0.00000000	1.072	1.588	1.072	1.588	1.072	1.588	0.000	0.014	0.000	0.014	0.000	0.014	14.996	99999.000	14.996	99999.000	14.996	99999.000	0.010150	0.470063	0.407300	0.105893	0.754386	0.061928	0.576923
1.709	0.007	99999.000	0.70000000	1.561	2.072	1.561	2.072	1.561	2.072	0.000	0.016	0.000	0.016	0.000	0.016	13.746	99999.000	13.746	99999.000	13.746	99999.000	1.938	0.000	99999.000	0.30000000	1.773	2.225	1.773	2.225	1.773	2.225	0.000	0.394	0.000	0.394	0.000	0.394	8.668	99999.000	8.668	99999.000	8.668	99999.000	0.025848	0.573823	0.459706	0.211214	0.764706	0.134389	0.482143
1.324	0.005	99999.000	0.40000000	1.072	1.627	1.072	1.627	1.072	1.627	0.000	0.026	0.000	0.026	0.000	0.026	4.918	99999.000	4.918	99999.000	4.918	99999.000	1.492	0.000	19.166	1.00000000	0.910	2.289	0.910	2.289	0.910	2.289	0.000	0.332	0.000	0.332	0.000	0.332	2.479	99999.000	2.479	99999.000	2.479	99999.000	0.014069	0.371084	0.340198	0.046812	0.784615	0.100173	0.472727
1.268	0.004	99999.000	0.00000000	0.979	1.424	0.979	1.424	0.979	1.424	0.000	0.040	0.000	0.040	0.000	0.040	20.992	99999.000	20.992	99999.000	20.992	99999.000	1.412	0.000	99999.000	0.00000000	1.146	1.727	1.146	1.727	1.146	1.727	0.000	0.054	0.000	0.054	0.000	0.054	9.605	99999.000	9.605	99999.000	9.605	99999.000	0.013558	0.437901	0.350596	0.134438	0.771930	0.108786	0.584906
1.334	0.000	8.138	0.90000000	0.891	1.854	0.891	1.854	0.891	1.854	0.000	0.213	0.000	0.213	0.000	0.213	1.398	99999.000	1.398	99999.000	1.398	99999.000	1.469	0.000	6.253	0.90000000	0.523	2.145	0.523	2.145	0.523	2.145	0.000	0.204	0.000	0.204	0.000	0.204	2.273	99999.000	2.273	99999.000	2.273	99999.000	0.007031	0.308122	0.277330	0.042609	0.750000	0.058358	0.420000
1.439	0.000	99999.000	0.00000000	1.369	1.779	1.369	1.779	1.369	1.779	0.000	0.042	0.000	0.042	0.000	0.042	3.873	99999.000	3.873	99999.000	3.873	99999.000	1.537	0.000	99999.000	0.00000000	1.285	1.893	1.285	1.893	1.285	1.893	0.000	0.026	0.000	0.026	0.000	0.026	30.641	99999.000	30.641	99999.000	30.641	99999.000	0.011630	0.431824	0.368346	0.100496	0.796875	0.077089	0.543860
1.461	0.000	102.681	0.90000000	1.059	1.910	1.059	1.910	1.059	1.910	0.000	0.257	0.000	0.257	0.000	0.257	7.593	99999.000	7.593	99999.000	7.593	99999.000	1.695	0.000	20.572	1.00000000	1.141	2.322	1.141	2.322	1.141	2.322	0.000	0.686	0.000	0.686	0.000	0.686	45.884	99999.000	45.884	99999.000	45.884	99999.000	0.017451	0.465078	0.392692	0.119192	0.813333	0.104845	0.413793
0.969	0.000	99999.000	0.40000000	0.832	1.166	0.832	1.166	0.832	1.166	0.000	0.035	0.000	0.035	0.000	0.035	30.484	99999.000	30.484	99999.000	30.484	99999.000	0.973	0.000	99999.000	0.60000000	0.859	1.234	0.859	1.234	0.859	1.234	0.000	0.054	0.000	0.054	0.000	0.054	3.556	99999.000	3.556	99999.000	3.556	99999.000	0.005321	0.178215	0.158815	0.023062	0.686275	0.055438	0.500000
1.445	0.000	99999.000	0.00000000	1.160	1.689	1.160	1.689	1.160	1.689	0.000	0.313	0.000	0.313	0.000	0.313	40.016	99999.000	40.016	99999.000	40.016	99999.000	1.547	0.000	99999.000	0.00000000	1.393	2.521	1.393	2.521	1.393	2.521	0.000	0.042	0.000	0.042	0.000	0.042	4.513	99999.000	4.513	99999.000	4.513	99999.000	0.012733	0.480539	0.416203	0.110203	0.809524	0.078622	0.480769
1.477	0.065	5.276	1.00000000	0.000	2.820	0.000	2.820	0.000	2.820	0.000	0.002	0.000	0.002	0.000	0.002	4.153	99999.000	4.153	99999.000	4.153	99999.000	1.461	0.257	5.308	1.00000000	0.523	3.672	0.523	3.672	0.523	3.672	0.000	0.267	0.000	0.267	0.000	0.267	2.302	99999.000	2.302	99999.000	2.302	99999.000	0.013661	0.296005	0.235363	0.079308	0.811594	0.093666	0.442308
1.150	0.007	99999.000	0.80000000	0.869	1.588	0.869	1.588	0.869	1.588	0.000	0.408	0.000	0.408	0.000	0.408	2.462	99999.000	2.462	99999.000	2.462	99999.000	1.424	0.000	8.821	0.90000000	0.135	1.766	0.135	1.766	0.135	1.766	0.000	0.895	0.000	0.895	0.000	0.895	1.648	99999.000	1.648	99999.000	1.648	99999.000	0.017998	0.302114	0.243520	0.077455	0.789474	0.143231	0.465116
1.426	0.000	99999.000	0.00000000	1.133	1.742	1.133	1.742	1.133	1.742	0.000	0.364	0.000	0.364	0.000	0.364	3.912	99999.000	3.912	99999.000	3.912	99999.000	1.662	0.000	99999.000	0.00000000	1.541	2.035	1.541	2.035	1.541	2.035	0.000	0.025	0.000	0.025	0.000	0.025	12.105	99999.000	12.105	99999.000	12.105	99999.000	0.020196	0.490751	0.334682	0.234578	0.769231	0.148381	0.610170
1.283	0.002	99999.000	0.20000000	0.986	1.879	0.986	1.879	0.986	1.879	0.000	0.019	0.000	0.019	0.000	0.019	3.241	99999.000	3.241	99999.000	3.241	99999.000	1.393	0.000	99999.000	0.50000000	1.145	1.646	1.145	1.646	1.145	1.646	0.000	0.007	0.000	0.007	0.000	0.007	151.969	99999.000	151.969	99999.000	151.969	99999.000	0.012518	0.326520	0.251229	0.100552	0.808219	0.088388	0.517241
1.260	0.000	99999.000	0.00000000	1.020	2.021	1.020	2.021	1.020	2.021	0.000	0.014	0.000	0.014	0.000	0.014	392.125	99999.000	392.125	99999.000	392.125	99999.000	1.400	0.000	99999.000	0.00000000	1.033	1.619	1.033	1.619	1.033	1.619	0.000	0.132	0.000	0.132	0.000	0.132	4.898	99999.000	4.898	99999.000	4.898	99999.000	0.018793	0.385838	0.287950	0.137473	0.779661	0.145841	0.588235
0.928	0.000	99999.000	0.10000000	0.678	1.002	0.678	1.002	0.678	1.002	0.000	0.030	0.000	0.030	0.000	0.030	99999.000	99999.000	99999.000	99999.000	99999.000	99999.000	1.457	0.000	7.893	1.00000000	0.000	2.559	0.000	2.559	0.000	2.559	0.000	0.677	0.000	0.677	0.000	0.677	2.132	99999.000	2.132	99999.000	2.132	99999.000	0.010428	0.275777	0.214594	0.077900	0.722222	0.092075	0.444444
1.373	0.000	99999.000	0.40000000	0.869	1.633	0.869	1.633	0.869	1.633	0.000	0.378	0.000	0.378	0.000	0.378	4.762	99999.000	4.762	99999.000	4.762	99999.000	1.406	0.021	99999.000	0.00000000	1.025	1.857	1.025	1.857	1.025	1.857	0.000	0.397	0.000	0.397	0.000	0.397	5.123	99999.000	5.123	99999.000	5.123	99999.000	0.030238	0.371853	0.328823	0.064112	0.791045	0.191642	0.518519
1.312	0.002	25.052	1.00000000	0.812	2.021	0.812	2.021	0.812	2.021	0.000	0.110	0.000	0.110	0.000	0.110	1.962	99999.000	1.962	99999.000	1.962	99999.000	0.951	0.000	99999.000	0.00000000	0.781	1.541	0.781	1.541	0.781	1.541	0.000	0.120	0.000	0.120	0.000	0.120	99999.000	99999.000	99999.000	99999.000	99999.000	99999.000	0.007738	0.269656	0.249238	0.027197	0.766667	0.056171	0.500000
1.256	0.000	99999.000	0.40000000	1.117	1.832	1.117	1.832	1.117	1.832	0.000	0.049	0.000	0.049	0.000	0.049	2.474	99999.000	2.474	99999.000	2.474	99999.000	1.361	0.000	58.306	0.50000000	1.049	1.709	1.049	1.709	1.049	1.709	0.000	0.134	0.000	0.134	0.000	0.134	3.961	99999.000	3.961	99999.000	3.961	99999.000	0.011100	0.337613	0.308733	0.041778	0.797101	0.103412	0.518519
