tau	theta0	theta1	ragvalue	pvalue	downtau(alpha=0.01)	uptau(alpha=0.01)	downtau(alpha=0.05)	uptau(alpha=0.05)	downtau(alpha=0.1)	uptau(alpha=0.1)	downtheta0(alpha=0.01)	uptheta0(alpha=0.01)	downtheta0(alpha=0.05)	uptheta0(alpha=0.05)	downtheta0(alpha=0.1)	uptheta0(alpha=0.1)	downtheta1(alpha=0.01)	uptheta1(alpha=0.01)	downtheta1(alpha=0.05)	uptheta1(alpha=0.05)	downtheta1(alpha=0.1)	uptheta1(alpha=0.1)
4.291	0.297	34.727	0.77300000	0.74600000	1.814	6.836	2.500	6.236	2.744	5.900	0.000	2.577	0.000	1.939	0.000	1.485	10.781	99999.000	15.862	99999.000	19.563	99999.000
3.717	0.506	24.307	0.83300000	0.81300000	1.355	8.365	1.947	6.145	2.279	5.744	0.000	3.065	0.000	2.011	0.000	1.492	5.225	99999.000	10.168	99999.000	12.815	99999.000
4.025	0.002	30.059	0.37900000	0.23100000	1.232	5.971	1.826	5.451	2.207	5.121	0.000	2.562	0.000	1.788	0.000	1.341	7.736	99999.000	12.051	99999.000	15.137	99999.000
3.008	0.000	99999.000	0.33600000	0.22000000	2.332	3.662	2.508	3.498	2.600	3.395	0.000	0.615	0.000	0.366	0.000	0.086	15.953	99999.000	25.211	99999.000	34.312	99999.000
3.211	1.116	37.930	0.70900000	0.48800000	1.141	9.992	1.566	6.971	2.035	6.092	0.000	5.194	0.000	3.479	0.000	2.044	7.996	99999.000	11.881	99999.000	14.102	99999.000
3.637	0.000	99999.000	0.00100000	0.00400000	2.816	4.406	3.135	4.150	3.195	4.064	0.000	0.717	0.000	0.371	0.000	0.141	22.945	99999.000	34.781	99999.000	45.484	99999.000
3.832	0.000	99999.000	0.14700000	0.04100000	3.057	4.559	3.305	4.340	3.340	4.227	0.000	0.858	0.000	0.420	0.000	0.169	26.109	99999.000	39.703	99999.000	52.203	99999.000
3.680	0.000	142.344	0.33600000	0.08900000	2.002	4.670	2.258	4.398	2.498	4.256	0.000	1.635	0.000	1.222	0.000	1.048	17.725	99999.000	27.305	99999.000	37.188	99999.000
4.152	0.000	99999.000	0.00000000	0.00100000	3.076	4.906	3.652	4.672	3.693	4.590	0.000	0.851	0.000	0.422	0.000	0.111	28.375	99999.000	42.750	99999.000	55.406	99999.000
3.699	0.070	41.768	0.74300000	0.79700000	1.449	5.428	1.910	4.959	2.363	4.734	0.000	2.278	0.000	1.450	0.000	1.146	9.200	99999.000	13.555	99999.000	19.088	99999.000
3.467	0.005	13.613	0.87300000	0.63700000	0.842	6.342	1.217	5.492	1.586	4.912	0.000	2.549	0.000	1.543	0.000	1.118	3.775	99999.000	5.828	99999.000	7.649	99999.000
4.176	0.005	177.500	0.25700000	0.06700000	2.488	5.135	2.781	4.891	2.980	4.736	0.000	1.610	0.000	1.202	0.000	0.984	26.211	99999.000	33.398	99999.000	41.621	99999.000
3.750	0.000	221.562	0.16800000	0.07200000	2.156	4.475	2.406	4.305	2.676	4.193	0.000	1.498	0.000	1.139	0.000	0.907	23.525	99999.000	31.133	99999.000	39.453	99999.000
4.682	0.002	123.281	0.30300000	0.12300000	2.557	5.807	2.998	5.498	3.248	5.338	0.000	2.048	0.000	1.440	0.000	1.176	25.391	99999.000	33.477	99999.000	39.980	99999.000
