Acceptancenum	Simnum	Time	T0	T1	TMRCA	Variance	epsilonV	Heterozygosis	epsilonH	Numberofconfig	epsilonC	SASHloc	SH	MASH	SASH	SHchanges	SHdist	HBC	Simnum	Alpha
1	453	0.202145	0.000375	28.765579	0.202695	0.591439	0.014170	0.475049	0.054275	47	0.060000	0.232199	0.787591	0.760761	0.112148	0.755556	0.422481	0.060000	453	0.100000
2	576	0.137002	0.006470	35.466949	0.141908	0.552826	0.078531	0.548546	-0.092043	48	0.040000	0.235623	0.789648	0.776982	0.056791	0.801802	0.319925	0.111111	576	0.100000
3	787	0.085847	0.006310	39.836788	0.087694	0.616831	-0.028153	0.545504	-0.085985	53	-0.060000	0.157213	0.878728	0.847912	0.202615	0.807339	0.228554	0.145161	787	0.100000
4	913	0.270772	0.002340	19.219120	0.273112	0.617576	-0.029396	0.520866	-0.036936	46	0.080000	0.316376	0.751493	0.710275	0.142267	0.730769	0.423395	0.080000	913	0.100000
5	3151	0.077291	0.002979	48.999947	0.078735	0.648203	-0.080445	0.487562	0.029365	54	-0.080000	0.114305	0.825195	0.776360	0.218364	0.783019	0.229766	0.217391	3151	0.100000
6	5478	0.079602	0.002105	43.365932	0.082387	0.605690	-0.009583	0.512752	-0.020784	46	0.080000	0.200787	0.837750	0.771769	0.289099	0.787037	0.339589	0.192982	5478	0.100000
7	6955	0.939673	0.009593	39.944469	0.380717	0.600075	-0.000224	0.550083	-0.095101	55	-0.100000	0.468247	0.855646	0.840877	0.092817	0.833333	0.618406	0.098361	6955	0.100000
8	8124	0.087768	0.002445	36.253635	0.089930	0.569553	0.050651	0.515929	-0.027108	51	-0.020000	0.153947	0.885225	0.806761	0.406046	0.798165	0.327150	0.135593	8124	0.100000
9	8198	0.095748	0.004095	36.967190	0.099119	0.597241	0.004500	0.529337	-0.053800	55	-0.100000	0.243943	0.768473	0.699507	0.229508	0.785714	0.348315	0.126984	8198	0.100000
10	8791	0.073205	0.009828	43.111572	0.080957	0.559836	0.066847	0.486101	0.032274	53	-0.060000	0.253020	0.875590	0.811549	0.339832	0.822581	0.357405	0.273973	8791	0.100000
11	9455	0.103625	0.002356	36.335884	0.106481	0.540343	0.099339	0.521149	-0.037500	45	0.100000	0.173484	0.841227	0.801985	0.198179	0.766667	0.261753	0.117647	9455	0.100000
12	12745	0.067501	0.009579	37.202530	0.078569	0.581984	0.029931	0.528591	-0.052316	50	0.000000	0.168050	0.869861	0.815170	0.295897	0.750000	0.259660	0.137931	12745	0.100000
13	12914	0.201854	0.001375	22.512051	0.203111	0.555086	0.074765	0.508233	-0.011787	46	0.080000	0.199319	0.796794	0.737859	0.224821	0.740741	0.374590	0.148148	12914	0.100000
14	14381	0.060744	0.006567	47.988075	0.065444	0.541201	0.097909	0.532350	-0.059798	52	-0.040000	0.264547	0.836227	0.812453	0.126763	0.813084	0.299909	0.161290	14381	0.100000
15	17787	0.149289	0.006838	33.728886	0.151885	0.605078	-0.008564	0.547159	-0.089281	53	-0.060000	0.250724	0.867575	0.854431	0.090300	0.755102	0.383395	0.131148	17787	0.100000
16	18502	0.080829	0.009919	31.911560	0.086369	0.555339	0.074343	0.508561	-0.012441	52	-0.040000	0.134457	0.871482	0.863977	0.055170	0.747253	0.212948	0.071429	18502	0.100000
17	18935	0.331237	0.001388	23.823551	0.331377	0.651298	-0.085604	0.546936	-0.088836	45	0.100000	0.386199	0.810745	0.757021	0.221106	0.727273	0.445388	0.134615	18935	0.100000
18	21490	0.194892	0.008360	44.156448	0.202021	0.558904	0.068401	0.549024	-0.092993	54	-0.080000	0.354510	0.689257	0.650138	0.111812	0.822695	0.662448	0.114754	21490	0.100000
19	24696	0.100524	0.003255	38.688572	0.102094	0.622200	-0.037103	0.543625	-0.082244	53	-0.060000	0.187888	0.882247	0.844944	0.240579	0.788991	0.277782	0.171875	24696	0.100000
20	26347	0.402629	0.001566	20.546692	0.404059	0.569359	0.050974	0.550291	-0.095516	46	0.080000	0.353666	0.806960	0.713225	0.326860	0.807692	0.541259	0.132075	26347	0.100000
21	27668	0.973866	0.001845	29.512770	0.299814	0.604280	-0.007234	0.549531	-0.094002	45	0.100000	0.277559	0.874027	0.858095	0.112274	0.810811	0.507428	0.166667	27668	0.100000
22	28330	0.052964	0.007639	39.358757	0.056135	0.541439	0.097512	0.478584	0.047239	52	-0.040000	0.180137	0.913169	0.860082	0.379414	0.765957	0.280937	0.174603	28330	0.100000
23	28471	0.097489	0.005726	29.023176	0.103312	0.605779	-0.009733	0.539195	-0.073426	52	-0.040000	0.218515	0.866209	0.791881	0.357143	0.819048	0.288565	0.174603	28471	0.100000
24	28567	0.168196	0.006351	31.198332	0.170613	0.550007	0.083230	0.491067	0.022387	50	0.000000	0.239469	0.789395	0.699776	0.298508	0.758242	0.400911	0.166667	28567	0.100000
25	29571	0.112137	0.009641	39.291691	0.115068	0.574079	0.043107	0.543535	-0.082066	52	-0.040000	0.241213	0.880452	0.863707	0.122858	0.831933	0.360699	0.133333	29571	0.100000
26	29677	0.258196	0.004051	20.913843	0.264300	0.635854	-0.059862	0.521596	-0.038390	52	-0.040000	0.353186	0.704264	0.702888	0.004630	0.715789	0.501608	0.018868	29677	0.100000
27	31101	0.163538	0.004202	24.803377	0.166999	0.575205	0.041230	0.499106	0.006384	47	0.060000	0.244400	0.731671	0.728678	0.011031	0.734177	0.375069	0.020833	31101	0.100000
28	32643	0.163346	0.004945	21.952538	0.165516	0.559806	0.066897	0.549933	-0.094804	45	0.100000	0.215645	0.777399	0.748128	0.116215	0.737500	0.337086	0.100000	32643	0.100000
29	34699	0.203602	0.008863	26.781174	0.209678	0.620604	-0.034443	0.551544	-0.098010	45	0.100000	0.214748	0.827783	0.806851	0.108373	0.746988	0.346135	0.081633	34699	0.100000
30	36126	0.085644	0.002100	31.601933	0.089276	0.652304	-0.087282	0.525221	-0.045606	54	-0.080000	0.197044	0.843834	0.799280	0.221973	0.800000	0.304206	0.100000	36126	0.100000
31	37175	0.223673	0.006734	18.982014	0.230065	0.621894	-0.036593	0.531947	-0.058996	46	0.080000	0.294037	0.705882	0.692266	0.044248	0.771084	0.455005	0.098039	37175	0.100000
32	37237	0.419731	0.006040	22.521284	0.422111	0.578225	0.036196	0.533737	-0.062559	52	-0.040000	0.383093	0.878778	0.866214	0.093909	0.790000	0.629130	0.103448	37237	0.100000
33	39273	0.213398	0.001931	23.060400	0.214055	0.551790	0.080259	0.531664	-0.058432	46	0.080000	0.264432	0.834044	0.773168	0.268376	0.759036	0.379588	0.080000	39273	0.100000
34	39737	0.661983	0.003003	21.514612	0.662902	0.589993	0.016581	0.526086	-0.047328	46	0.080000	0.267576	0.833481	0.810391	0.121781	0.803419	0.371482	0.148148	39737	0.100000
35	40984	0.137633	0.000180	35.258343	0.137678	0.552282	0.079439	0.526995	-0.049139	48	0.040000	0.383008	0.843202	0.717654	0.444659	0.790476	0.479721	0.157895	40984	0.100000
36	42206	0.128284	0.000634	29.917482	0.129096	0.551007	0.081564	0.532573	-0.060243	48	0.040000	0.202365	0.836192	0.810183	0.137025	0.758242	0.264929	0.142857	42206	0.100000
37	42393	0.144588	0.009390	20.396030	0.152810	0.580075	0.033113	0.535914	-0.066894	49	0.020000	0.146576	0.802662	0.796297	0.031249	0.739726	0.243304	0.039216	42393	0.100000
38	43180	0.185504	0.007276	29.605680	0.192846	0.575981	0.039937	0.521984	-0.039163	49	0.020000	0.452034	0.867894	0.844172	0.152231	0.801887	0.506864	0.125000	43180	0.100000
39	44153	0.147597	0.007778	26.445707	0.168266	0.555309	0.074392	0.536496	-0.068052	45	0.100000	0.320560	0.873684	0.854035	0.134617	0.781609	0.517671	0.117647	44153	0.100000
40	47177	0.203842	0.000513	19.593615	0.204392	0.550075	0.083118	0.551962	-0.098842	51	-0.020000	0.365986	0.837736	0.793868	0.212814	0.755814	0.427079	0.089286	47177	0.100000
41	48013	0.372174	0.003154	36.654922	0.376189	0.629881	-0.049905	0.525549	-0.046259	54	-0.080000	0.665935	0.871094	0.793403	0.376051	0.832168	0.716592	0.142857	48013	0.100000
42	48378	0.957220	0.006593	21.029909	0.962593	0.554631	0.075523	0.521984	-0.039163	49	0.020000	0.336867	0.833405	0.760954	0.303084	0.808000	0.678139	0.075472	48378	0.100000
43	54750	0.051294	0.008230	43.651466	0.068156	0.555369	0.074293	0.480761	0.042904	46	0.080000	0.125169	0.699760	0.640794	0.164155	0.770115	0.278345	0.132075	54750	0.100000
