tau	theta0	theta1	ragvalue	pvalue	downtau(alpha=0.01)	uptau(alpha=0.01)	downtau(alpha=0.05)	uptau(alpha=0.05)	downtau(alpha=0.1)	uptau(alpha=0.1)	downtheta0(alpha=0.01)	uptheta0(alpha=0.01)	downtheta0(alpha=0.05)	uptheta0(alpha=0.05)	downtheta0(alpha=0.1)	uptheta0(alpha=0.1)	downtheta1(alpha=0.01)	uptheta1(alpha=0.01)	downtheta1(alpha=0.05)	uptheta1(alpha=0.05)	downtheta1(alpha=0.1)	uptheta1(alpha=0.1)
4.996	0.749	29.355	0.57700000	0.58700000	2.016	9.281	2.777	8.303	3.363	7.715	0.000	3.488	0.000	2.250	0.000	1.723	11.387	99999.000	15.234	99999.000	17.919	99999.000
4.980	0.005	37.754	0.66800000	0.44500000	1.941	7.223	2.691	6.453	3.133	6.232	0.000	2.621	0.000	1.907	0.000	1.570	12.656	99999.000	17.676	99999.000	22.090	99999.000
5.736	0.002	100.312	0.15800000	0.06300000	2.877	7.148	3.598	6.791	3.928	6.604	0.000	2.254	0.000	1.754	0.000	1.501	31.611	99999.000	40.312	99999.000	47.695	99999.000
4.273	0.011	37.969	0.51600000	0.23100000	1.459	6.123	2.207	5.568	2.525	5.379	0.000	2.363	0.000	1.782	0.000	1.383	10.811	99999.000	17.030	99999.000	20.039	99999.000
5.420	0.009	19.194	0.89300000	0.78500000	1.244	8.666	2.520	7.762	2.961	7.369	0.000	3.463	0.000	2.326	0.000	1.721	7.379	99999.000	11.187	99999.000	13.274	99999.000
5.246	0.004	82.812	0.52900000	0.29500000	2.525	6.969	3.174	6.445	3.533	6.195	0.000	2.183	0.000	1.758	0.000	1.480	23.276	99999.000	31.377	99999.000	37.148	99999.000
4.805	0.019	63.438	0.37000000	0.18100000	2.182	6.580	2.863	5.965	3.172	5.756	0.000	2.417	0.000	1.770	0.000	1.403	17.383	99999.000	26.016	99999.000	31.528	99999.000
4.986	0.005	99999.000	0.00000000	0.00600000	3.668	5.697	4.117	5.494	4.357	5.402	0.000	0.997	0.000	0.670	0.000	0.401	38.531	99999.000	55.875	99999.000	69.391	99999.000
5.594	0.000	627.500	0.00000000	0.01300000	3.705	6.422	4.031	6.232	4.270	6.074	0.000	1.698	0.000	1.320	0.000	1.062	53.750	99999.000	83.281	99999.000	104.219	99999.000
5.086	0.004	24.619	0.76300000	0.64700000	1.512	8.268	2.459	7.033	2.775	6.586	0.000	3.038	0.000	1.978	0.000	1.621	7.961	99999.000	13.645	99999.000	16.689	99999.000
