tau	theta0	theta1	pvalue	downtau(alpha=0.01)	uptau(alpha=0.01)	downtau(alpha=0.05)	uptau(alpha=0.05)	downtau(alpha=0.1)	uptau(alpha=0.1)	downtheta0(alpha=0.01)	uptheta0(alpha=0.01)	downtheta0(alpha=0.05)	uptheta0(alpha=0.05)	downtheta0(alpha=0.1)	uptheta0(alpha=0.1)	downtheta1(alpha=0.01)	uptheta1(alpha=0.01)	downtheta1(alpha=0.05)	uptheta1(alpha=0.05)	downtheta1(alpha=0.1)	uptheta1(alpha=0.1)	IS_tau	IS_theta0	IS_theta1	IS_pvalue	IS_downtau(alpha=0.01)	IS_uptau(alpha=0.01)	IS_downtau(alpha=0.05)	IS_uptau(alpha=0.05)	IS_downtau(alpha=0.1)	IS_uptau(alpha=0.1)	IS_downtheta0(alpha=0.01)	IS_uptheta0(alpha=0.01)	IS_downtheta0(alpha=0.05)	IS_uptheta0(alpha=0.05)	IS_downtheta0(alpha=0.1)	IS_uptheta0(alpha=0.1)	IS_downtheta1(alpha=0.01)	IS_uptheta1(alpha=0.01)	IS_downtheta1(alpha=0.05)	IS_uptheta1(alpha=0.05)	IS_downtheta1(alpha=0.1)	IS_uptheta1(alpha=0.1)	MSH	SH	MASH	P	SHchanges	DH	HBC
1.271	0.000	99999.000	0.19300000	0.850	1.859	0.990	1.730	1.021	1.629	0.000	0.197	0.000	0.074	0.000	0.032	3.185	99999.000	5.416	99999.000	13.277	99999.000	1.375	0.000	99999.000	0.17300000	0.914	1.969	1.070	1.805	1.117	1.725	0.000	0.297	0.000	0.081	0.000	0.035	3.150	99999.000	6.051	99999.000	12.789	99999.000	0.014563	0.366571	0.290292	0.107479	0.729167	0.102293	0.358974
0.576	0.628	6.243	0.75800000	0.000	4.172	0.000	3.236	0.000	2.613	0.000	1.121	0.000	0.399	0.000	0.211	0.863	99999.000	1.429	99999.000	1.912	99999.000	1.809	0.076	2.556	0.92900000	0.000	5.865	0.000	4.193	0.008	3.826	0.000	1.478	0.000	0.323	0.000	0.049	0.570	99999.000	1.137	99999.000	1.624	99999.000	0.021566	0.283735	0.175939	0.130811	0.733333	0.175881	0.394737
2.188	0.000	99999.000	0.04000000	1.684	2.830	1.750	2.635	1.867	2.551	0.000	0.550	0.000	0.163	0.000	0.067	8.883	99999.000	12.379	99999.000	17.340	99999.000	2.857	0.000	99999.000	0.15800000	2.100	3.445	2.357	3.301	2.475	3.215	0.000	0.724	0.000	0.417	0.000	0.142	14.645	99999.000	21.812	99999.000	27.203	99999.000	0.068505	0.740113	0.642302	0.273445	0.769231	0.239941	0.346939
1.588	0.000	99999.000	0.04600000	1.088	2.215	1.266	1.979	1.328	1.906	0.000	0.506	0.000	0.128	0.000	0.056	4.693	99999.000	7.872	99999.000	10.328	99999.000	1.734	0.000	99999.000	0.15700000	1.227	2.396	1.402	2.180	1.461	2.090	0.000	0.475	0.000	0.181	0.000	0.051	5.504	99999.000	8.805	99999.000	12.906	99999.000	0.028204	0.507546	0.430305	0.135584	0.745098	0.125808	0.380952
1.467	0.000	99999.000	0.57300000	0.973	2.184	1.174	1.934	1.215	1.814	0.000	0.427	0.000	0.125	0.000	0.044	4.264	99999.000	7.672	99999.000	12.438	99999.000	1.492	0.000	99999.000	0.60000000	1.051	2.162	1.207	1.973	1.242	1.867	0.000	0.297	0.000	0.081	0.000	0.035	4.156	99999.000	6.979	99999.000	12.223	99999.000	0.005000	0.307080	0.275521	0.043561	0.648649	0.032320	0.363636
1.779	0.004	99999.000	0.57400000	0.967	2.430	1.334	2.219	1.471	2.117	0.000	0.503	0.000	0.253	0.000	0.100	5.514	99999.000	8.785	99999.000	12.945	99999.000	1.922	0.000	99999.000	0.87700000	1.424	2.547	1.600	2.373	1.646	2.289	0.000	0.485	0.000	0.171	0.000	0.062	7.623	99999.000	11.051	99999.000	15.133	99999.000	0.017548	0.428471	0.379394	0.079080	0.613636	0.074191	0.257143
1.639	0.000	99999.000	0.85300000	1.141	2.232	1.334	2.068	1.379	1.979	0.000	0.285	0.000	0.079	0.000	0.042	5.279	99999.000	8.766	99999.000	12.594	99999.000	1.922	0.000	21.822	0.89000000	0.238	3.205	0.729	2.906	0.920	2.709	0.000	1.345	0.000	0.874	0.000	0.645	1.901	99999.000	2.781	99999.000	3.834	99999.000	0.022902	0.483060	0.411748	0.121226	0.754386	0.118639	0.386364
1.449	0.000	99999.000	0.33900000	0.949	2.070	1.168	1.885	1.199	1.807	0.000	0.343	0.000	0.128	0.000	0.047	3.277	99999.000	5.650	99999.000	9.742	99999.000	1.574	0.000	99999.000	0.40200000	1.072	2.240	1.262	2.025	1.320	1.889	0.000	0.461	0.000	0.113	0.000	0.033	4.244	99999.000	6.930	99999.000	11.070	99999.000	0.013004	0.437322	0.384579	0.085703	0.722222	0.083905	0.409091
1.184	0.000	99999.000	0.20100000	0.684	1.746	0.902	1.609	0.932	1.527	0.000	0.387	0.000	0.116	0.000	0.044	2.428	99999.000	4.049	99999.000	12.047	99999.000	1.037	0.262	99999.000	0.26700000	0.334	3.682	0.746	2.443	0.846	2.133	0.000	0.334	0.000	0.125	0.000	0.049	2.169	99999.000	4.908	99999.000	9.781	99999.000	0.013610	0.350972	0.300737	0.071840	0.759259	0.112243	0.428571
1.000	0.000	5.237	0.85300000	0.000	2.627	0.000	2.039	0.160	1.846	0.000	0.770	0.000	0.350	0.000	0.204	0.636	99999.000	1.228	99999.000	1.599	99999.000	1.039	0.060	4.280	0.87300000	0.000	2.898	0.000	2.393	0.000	2.113	0.000	0.628	0.000	0.272	0.000	0.100	0.655	99999.000	1.048	99999.000	1.455	99999.000	0.005962	0.158268	0.123367	0.039813	0.666667	0.064672	0.482759
