tau	theta0	theta1	pvalue	downtau(alpha=0.01)	uptau(alpha=0.01)	downtau(alpha=0.05)	uptau(alpha=0.05)	downtau(alpha=0.1)	uptau(alpha=0.1)	downtheta0(alpha=0.01)	uptheta0(alpha=0.01)	downtheta0(alpha=0.05)	uptheta0(alpha=0.05)	downtheta0(alpha=0.1)	uptheta0(alpha=0.1)	downtheta1(alpha=0.01)	uptheta1(alpha=0.01)	downtheta1(alpha=0.05)	uptheta1(alpha=0.05)	downtheta1(alpha=0.1)	uptheta1(alpha=0.1)	IS_tau	IS_theta0	IS_theta1	IS_pvalue	IS_downtau(alpha=0.01)	IS_uptau(alpha=0.01)	IS_downtau(alpha=0.05)	IS_uptau(alpha=0.05)	IS_downtau(alpha=0.1)	IS_uptau(alpha=0.1)	IS_downtheta0(alpha=0.01)	IS_uptheta0(alpha=0.01)	IS_downtheta0(alpha=0.05)	IS_uptheta0(alpha=0.05)	IS_downtheta0(alpha=0.1)	IS_uptheta0(alpha=0.1)	IS_downtheta1(alpha=0.01)	IS_uptheta1(alpha=0.01)	IS_downtheta1(alpha=0.05)	IS_uptheta1(alpha=0.05)	IS_downtheta1(alpha=0.1)	IS_uptheta1(alpha=0.1)	MSH	SH	MASH	P	SHchanges	DH	HBC
1.271	0.000	99999.000	0.10000000	1.145	1.424	1.145	1.424	1.145	1.424	0.000	0.012	0.000	0.012	0.000	0.012	5.855	99999.000	5.855	99999.000	5.855	99999.000	1.375	0.000	99999.000	0.20000000	1.084	1.500	1.084	1.500	1.084	1.500	0.000	0.021	0.000	0.021	0.000	0.021	14.977	99999.000	14.977	99999.000	14.977	99999.000	0.014564	0.366571	0.290292	0.107479	0.729167	0.102293	0.358974
0.576	0.628	6.243	0.70000000	0.701	2.814	0.701	2.814	0.701	2.814	0.000	0.097	0.000	0.097	0.000	0.097	3.200	99999.000	3.200	99999.000	3.200	99999.000	1.809	0.076	2.556	1.00000000	0.551	3.980	0.551	3.980	0.551	3.980	0.000	0.007	0.000	0.007	0.000	0.007	4.489	99999.000	4.489	99999.000	4.489	99999.000	0.021566	0.283735	0.175939	0.130811	0.733333	0.175881	0.394737
2.188	0.000	99999.000	0.00000000	1.701	2.561	1.701	2.561	1.701	2.561	0.000	0.098	0.000	0.098	0.000	0.098	23.766	99999.000	23.766	99999.000	23.766	99999.000	2.857	0.000	99999.000	0.10000000	2.604	3.162	2.604	3.162	2.604	3.162	0.000	0.032	0.000	0.032	0.000	0.032	66.188	99999.000	66.188	99999.000	66.188	99999.000	0.068505	0.740113	0.642302	0.273445	0.769231	0.239941	0.346939
1.588	0.000	99999.000	0.00000000	1.363	1.705	1.363	1.705	1.363	1.705	0.000	0.026	0.000	0.026	0.000	0.026	7.105	99999.000	7.105	99999.000	7.105	99999.000	1.734	0.000	99999.000	0.20000000	1.477	1.986	1.477	1.986	1.477	1.986	0.000	0.016	0.000	0.016	0.000	0.016	25.562	99999.000	25.562	99999.000	25.562	99999.000	0.028204	0.507546	0.430305	0.135584	0.745098	0.125808	0.380952
1.467	0.000	99999.000	0.20000000	1.217	1.602	1.217	1.602	1.217	1.602	0.000	0.214	0.000	0.214	0.000	0.214	48.375	99999.000	48.375	99999.000	48.375	99999.000	1.492	0.000	99999.000	0.30000000	1.248	1.707	1.248	1.707	1.248	1.707	0.000	0.585	0.000	0.585	0.000	0.585	75.172	99999.000	75.172	99999.000	75.172	99999.000	0.005000	0.307080	0.275521	0.043561	0.648649	0.032320	0.363636
1.779	0.004	99999.000	0.60000000	1.500	2.254	1.500	2.254	1.500	2.254	0.000	0.007	0.000	0.007	0.000	0.007	19.000	99999.000	19.000	99999.000	19.000	99999.000	1.922	0.000	99999.000	0.90000000	1.678	2.143	1.678	2.143	1.678	2.143	0.000	0.009	0.000	0.009	0.000	0.009	14.273	99999.000	14.273	99999.000	14.273	99999.000	0.017548	0.428471	0.379394	0.079080	0.613636	0.074191	0.257143
1.639	0.000	99999.000	0.80000000	1.459	1.889	1.459	1.889	1.459	1.889	0.000	0.192	0.000	0.192	0.000	0.192	29.078	99999.000	29.078	99999.000	29.078	99999.000	1.922	0.000	21.822	1.00000000	1.424	2.934	1.424	2.934	1.424	2.934	0.000	0.007	0.000	0.007	0.000	0.007	99999.000	99999.000	99999.000	99999.000	99999.000	99999.000	0.022902	0.483060	0.411748	0.121226	0.754386	0.118639	0.386364
1.449	0.000	99999.000	0.20000000	1.195	2.000	1.195	2.000	1.195	2.000	0.000	0.021	0.000	0.021	0.000	0.021	2.584	99999.000	2.584	99999.000	2.584	99999.000	1.574	0.000	99999.000	0.50000000	1.322	2.004	1.322	2.004	1.322	2.004	0.000	0.023	0.000	0.023	0.000	0.023	289.000	99999.000	289.000	99999.000	289.000	99999.000	0.013004	0.437322	0.384579	0.085703	0.722222	0.083905	0.409091
1.184	0.000	99999.000	0.20000000	0.934	1.229	0.934	1.229	0.934	1.229	0.000	0.016	0.000	0.016	0.000	0.016	40.250	99999.000	40.250	99999.000	40.250	99999.000	1.037	0.262	99999.000	0.10000000	0.908	2.307	0.908	2.307	0.908	2.307	0.000	0.067	0.000	0.067	0.000	0.067	16.949	99999.000	16.949	99999.000	16.949	99999.000	0.013610	0.350972	0.300737	0.071840	0.759259	0.112243	0.428571
1.000	0.000	5.237	1.00000000	0.188	1.787	0.188	1.787	0.188	1.787	0.000	0.014	0.000	0.014	0.000	0.014	3.667	99999.000	3.667	99999.000	3.667	99999.000	1.039	0.060	4.280	0.80000000	0.000	2.047	0.000	2.047	0.000	2.047	0.000	0.019	0.000	0.019	0.000	0.019	4.241	99999.000	4.241	99999.000	4.241	99999.000	0.005962	0.158268	0.123367	0.039813	0.666667	0.064672	0.482759
